x(m),t(s)
-0.09677419354838612,0.0008658008658008753
3.096774193548386,0.003896103896103925
5.903225806451614,0.007359307359307371
9.000000000000002,0.00995670995670997
12.096774193548386,0.013419913419913443
14.806451612903226,0.018181818181818216
18.0,0.020346320346320362
20.806451612903224,0.022510822510822537
24.0,0.025108225108225135
26.806451612903224,0.02554112554112556
30.0,0.032034632034632055
33.0,0.03463203463203465
35.903225806451616,0.03506493506493508
39.09677419354839,0.03722943722943725
42.09677419354839,0.03722943722943725
45.0,0.03982683982683985
48.09677419354839,0.040692640692640725
51.0,0.04155844155844157
54.0,0.04415584415584417
57.0,0.04458874458874462
59.80645161290323,0.045021645021645046
62.903225806451616,0.04718614718614722
65.90322580645162,0.04978354978354979
69.09677419354838,0.05151515151515154
