,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),SP (mV),VMN (mV),IAB (mA),Time (ms),Coef. k (m),yA (m),yB (m),yM (m),yN (m),zA (m),zB (m),zM (m),zN (m),N� electrode A,N� electrode B,N� electrode M,N� electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (�C),Rx-Bat (V),Rx Temp. (�C),Date,Gapfiller,Synch
,Mixed / non conventional,1,5,3,7,136.05,0.04,1.58,2952.513,409.058,250,18.85,0,0,0,0,0,0,0,0,1,5,3,7,0,0,0,0,3,0,546,223,1.334,0,0,,1,1,0,10.07,0,12.26,11.8,11/7/2025 1:59:00 PM,0,0
,Mixed / non conventional,1,5,7,11,136.01,0.03,-25.13,-2361.247,409.058,250,-23.56,0,0,0,0,0,0,0,0,1,5,7,11,0,0,0,0,3,0,546,223,1.334,0,0,,1,2,0,10.07,0,12.26,11.8,11/7/2025 1:59:00 PM,0,0
,Mixed / non conventional,1,5,11,15,180.7,0.04,15.06,-448.156,409.058,250,-164.93,0,0,0,0,0,0,0,0,1,5,11,15,0,0,0,0,3,0,546,223,1.334,0,0,,1,3,0,10.07,0,12.26,11.8,11/7/2025 1:59:00 PM,0,0
,Mixed / non conventional,1,5,15,19,138.98,0.05,-0.7,-114.893,409.058,250,-494.8,0,0,0,0,0,0,0,0,1,5,15,19,0,0,0,0,3,0,546,223,1.334,0,0,,1,4,0,10.07,0,12.26,11.8,11/7/2025 1:59:00 PM,0,0
,Mixed / non conventional,1,5,19,23,129.48,0.09,15.29,-48.656,409.058,250,-1088.56,0,0,0,0,0,0,0,0,1,5,19,23,0,0,0,0,3,0,546,223,1.334,0,0,,1,5,0,10.07,0,12.26,11.8,11/7/2025 1:59:00 PM,0,1
,Mixed / non conventional,2,6,4,8,117.47,0.05,-30.82,2442.205,391.884,250,18.85,0,0,0,0,0,0,0,0,2,6,4,8,0,0,0,0,3,0,567,222,1.448,0,0,,1,1,0,10.16,0,12.28,11.4,11/7/2025 1:59:02 PM,0,0
,Mixed / non conventional,2,6,8,12,147.1,0,-33.99,-2446.607,391.884,250,-23.56,0,0,0,0,0,0,0,0,2,6,8,12,0,0,0,0,3,0,567,222,1.448,0,0,,1,2,0,10.16,0,12.28,11.4,11/7/2025 1:59:02 PM,0,0
,Mixed / non conventional,2,6,12,16,194.86,0.04,50.66,-462.988,391.884,250,-164.93,0,0,0,0,0,0,0,0,2,6,12,16,0,0,0,0,3,0,567,222,1.448,0,0,,1,3,0,10.16,0,12.28,11.4,11/7/2025 1:59:02 PM,0,0
,Mixed / non conventional,2,6,16,20,141.99,0.04,-6.9,-112.454,391.884,250,-494.8,0,0,0,0,0,0,0,0,2,6,16,20,0,0,0,0,3,0,567,222,1.448,0,0,,1,4,0,10.16,0,12.28,11.4,11/7/2025 1:59:02 PM,0,0
,Mixed / non conventional,2,6,20,24,135.45,0.07,14.94,-48.764,391.884,250,-1088.56,0,0,0,0,0,0,0,0,2,6,20,24,0,0,0,0,3,0,567,222,1.448,0,0,,1,5,0,10.16,0,12.28,11.4,11/7/2025 1:59:02 PM,0,1
,Mixed / non conventional,3,7,1,5,135.93,0.04,879.43,3033.326,420.619,250,18.85,0,0,0,0,0,0,0,0,3,7,1,5,0,0,0,0,3,0,536,225,1.274,0,0,,1,1,0,10.13,0,12.26,11.4,11/7/2025 1:59:04 PM,0,0
,Mixed / non conventional,3,7,5,9,127.69,0.05,-403.44,2849.394,420.619,250,18.85,0,0,0,0,0,0,0,0,3,7,5,9,0,0,0,0,3,0,536,225,1.274,0,0,,1,2,0,10.13,0,12.26,11.4,11/7/2025 1:59:04 PM,0,0
,Mixed / non conventional,3,7,9,13,156.27,0.06,28.13,-2789.594,420.619,250,-23.56,0,0,0,0,0,0,0,0,3,7,9,13,0,0,0,0,3,0,536,225,1.274,0,0,,1,3,0,10.13,0,12.26,11.4,11/7/2025 1:59:04 PM,0,0
,Mixed / non conventional,3,7,13,17,184.12,0,-21.88,-469.561,420.619,250,-164.93,0,0,0,0,0,0,0,0,3,7,13,17,0,0,0,0,3,0,536,225,1.274,0,0,,1,4,0,10.13,0,12.26,11.4,11/7/2025 1:59:04 PM,0,0
,Mixed / non conventional,3,7,17,21,141.89,0.04,35.8,-120.619,420.619,250,-494.8,0,0,0,0,0,0,0,0,3,7,17,21,0,0,0,0,3,0,536,225,1.274,0,0,,1,5,0,10.13,0,12.26,11.4,11/7/2025 1:59:05 PM,0,0
,Mixed / non conventional,3,7,21,25,127.98,0.07,29.27,-49.451,420.619,250,-1088.56,0,0,0,0,0,0,0,0,3,7,21,25,0,0,0,0,3,0,536,225,1.274,0,0,,1,6,0,10.13,0,12.26,11.4,11/7/2025 1:59:05 PM,0,1
,Mixed / non conventional,4,8,2,6,117.46,0.05,891.84,2424.459,389.054,250,18.85,0,0,0,0,0,0,0,0,4,8,2,6,0,0,0,0,3,0,577,225,1.484,0,0,,1,1,0,10.1,0,12.23,11.4,11/7/2025 1:59:07 PM,0,0
