,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),SP (mV),VMN (mV),IAB (mA),Time (ms),Coef. k (m),yA (m),yB (m),yM (m),yN (m),zA (m),zB (m),zM (m),zN (m),N� electrode A,N� electrode B,N� electrode M,N� electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (�C),Rx-Bat (V),Rx Temp. (�C),Date,Gapfiller,Synch
,Mixed / non conventional,4,8,6,10,142.17,0.06,-411.13,2934.362,389.054,250,18.85,0,0,0,0,0,0,0,0,4,8,6,10,0,0,0,0,3,0,577,225,1.484,0,0,,1,2,0,10.1,0,12.23,11.4,11/7/2025 1:59:07 PM,0,0
,Mixed / non conventional,4,8,10,14,162.33,0.06,57.96,-2680.395,389.054,250,-23.56,0,0,0,0,0,0,0,0,4,8,10,14,0,0,0,0,3,0,577,225,1.484,0,0,,1,3,0,10.1,0,12.23,11.4,11/7/2025 1:59:07 PM,0,0
,Mixed / non conventional,4,8,14,18,159.33,0.05,-21.4,-375.836,389.054,250,-164.93,0,0,0,0,0,0,0,0,4,8,14,18,0,0,0,0,3,0,577,225,1.484,0,0,,1,4,0,10.1,0,12.23,11.4,11/7/2025 1:59:07 PM,0,0
,Mixed / non conventional,4,8,18,22,139.94,0.07,-0.6,-110.031,389.054,250,-494.8,0,0,0,0,0,0,0,0,4,8,18,22,0,0,0,0,3,0,577,225,1.484,0,0,,1,5,0,10.1,0,12.23,11.4,11/7/2025 1:59:07 PM,0,0
,Mixed / non conventional,4,8,22,26,105.95,0.05,17.26,-37.868,389.054,250,-1088.56,0,0,0,0,0,0,0,0,4,8,22,26,0,0,0,0,3,0,577,225,1.484,0,0,,1,6,0,10.1,0,12.23,11.4,11/7/2025 1:59:07 PM,0,1
,Mixed / non conventional,5,9,3,7,127.89,0.05,871.56,2371.586,349.547,250,18.85,0,0,0,0,0,0,0,0,5,9,3,7,0,0,0,0,3,0,629,220,1.799,0,0,,1,1,0,10.13,0,12.26,11.4,11/7/2025 1:59:09 PM,0,0
,Mixed / non conventional,5,9,7,11,140.09,0.11,-382.63,2597.86,349.547,250,18.85,0,0,0,0,0,0,0,0,5,9,7,11,0,0,0,0,3,0,629,220,1.799,0,0,,1,2,0,10.13,0,12.26,11.4,11/7/2025 1:59:09 PM,0,0
,Mixed / non conventional,5,9,11,15,167.59,0.07,9.22,-2486.284,349.547,250,-23.56,0,0,0,0,0,0,0,0,5,9,11,15,0,0,0,0,3,0,629,220,1.799,0,0,,1,3,0,10.13,0,12.26,11.4,11/7/2025 1:59:09 PM,0,0
,Mixed / non conventional,5,9,15,19,149.45,0.05,-3.12,-316.73,349.547,250,-164.93,0,0,0,0,0,0,0,0,5,9,15,19,0,0,0,0,3,0,629,220,1.799,0,0,,1,4,0,10.13,0,12.26,11.4,11/7/2025 1:59:09 PM,0,0
,Mixed / non conventional,5,9,19,23,148.94,0.08,14.01,-105.216,349.547,250,-494.8,0,0,0,0,0,0,0,0,5,9,19,23,0,0,0,0,3,0,629,220,1.799,0,0,,1,5,0,10.13,0,12.26,11.4,11/7/2025 1:59:09 PM,0,0
,Mixed / non conventional,5,9,23,27,98.84,0.19,13.57,-31.74,349.547,250,-1088.56,0,0,0,0,0,0,0,0,5,9,23,27,0,0,0,0,3,0,629,220,1.799,0,0,,1,6,0,10.13,0,12.26,11.4,11/7/2025 1:59:09 PM,0,1
,Mixed / non conventional,6,10,4,8,142.31,0,790.92,2479.49,328.43,250,18.85,0,0,0,0,0,0,0,0,6,10,4,8,0,0,0,0,3,0,664,218,2.022,0,0,,1,1,0,10.07,0,12.23,11.4,11/7/2025 1:59:11 PM,0,0
,Mixed / non conventional,6,10,8,12,152.75,0,-361.05,2661.441,328.43,250,18.85,0,0,0,0,0,0,0,0,6,10,8,12,0,0,0,0,3,0,664,218,2.022,0,0,,1,2,0,10.07,0,12.23,11.4,11/7/2025 1:59:11 PM,0,0
,Mixed / non conventional,6,10,12,16,178.04,0.04,46.86,-2481.75,328.43,250,-23.56,0,0,0,0,0,0,0,0,6,10,12,16,0,0,0,0,3,0,664,218,2.022,0,0,,1,3,0,10.07,0,12.23,11.4,11/7/2025 1:59:11 PM,0,0
,Mixed / non conventional,6,10,16,20,144.97,0.05,-8.6,-288.673,328.43,250,-164.93,0,0,0,0,0,0,0,0,6,10,16,20,0,0,0,0,3,0,664,218,2.022,0,0,,1,4,0,10.07,0,12.23,11.4,11/7/2025 1:59:11 PM,0,0
,Mixed / non conventional,6,10,20,24,145.73,0.03,14.07,-96.733,328.43,250,-494.8,0,0,0,0,0,0,0,0,6,10,20,24,0,0,0,0,3,0,664,218,2.022,0,0,,1,5,0,10.07,0,12.23,11.4,11/7/2025 1:59:11 PM,0,0
,Mixed / non conventional,6,10,24,28,98.97,0,-11.1,-29.86,328.43,250,-1088.56,0,0,0,0,0,0,0,0,6,10,24,28,0,0,0,0,3,0,664,218,2.022,0,0,,1,6,0,10.07,0,12.23,11.4,11/7/2025 1:59:11 PM,0,1
,Mixed / non conventional,7,11,1,5,136.27,0.06,41.23,-2205.665,381.364,250,-23.56,0,0,0,0,0,0,0,0,7,11,1,5,0,0,0,0,3,0,581,222,1.523,0,0,,1,1,0,10.04,0,12.21,11.4,11/7/2025 1:59:14 PM,0,0
,Mixed / non conventional,7,11,5,9,140.07,0.05,706.44,2833.862,381.364,250,18.85,0,0,0,0,0,0,0,0,7,11,5,9,0,0,0,0,3,0,581,222,1.523,0,0,,1,2,0,10.04,0,12.21,11.4,11/7/2025 1:59:14 PM,0,0
,Mixed / non conventional,7,11,9,13,150.45,0.05,-317.05,3043.955,381.364,250,18.85,0,0,0,0,0,0,0,0,7,11,9,13,0,0,0,0,3,0,581,222,1.523,0,0,,1,3,0,10.04,0,12.21,11.4,11/7/2025 1:59:14 PM,0,0
,Mixed / non conventional,7,11,13,17,170.1,0.04,-23.64,-2753.086,381.364,250,-23.56,0,0,0,0,0,0,0,0,7,11,13,17,0,0,0,0,3,0,581,222,1.523,0,0,,1,4,0,10.04,0,12.21,11.4,11/7/2025 1:59:14 PM,0,0
,Mixed / non conventional,7,11,17,21,142.25,0.06,34.78,-328.906,381.364,250,-164.93,0,0,0,0,0,0,0,0,7,11,17,21,0,0,0,0,3,0,581,222,1.523,0,0,,1,5,0,10.04,0,12.21,11.4,11/7/2025 1:59:14 PM,0,0
,Mixed / non conventional,7,11,21,25,133.92,0.05,28.65,-103.217,381.364,250,-494.8,0,0,0,0,0,0,0,0,7,11,21,25,0,0,0,0,3,0,581,222,1.523,0,0,,1,6,0,10.04,0,12.21,11.4,11/7/2025 1:59:14 PM,0,0
,Mixed / non conventional,7,11,25,29,104.41,0.04,5.6,-36.58,381.364,250,-1088.56,0,0,0,0,0,0,0,0,7,11,25,29,0,0,0,0,3,0,581,222,1.523,0,0,,1,7,0,10.04,0,12.21,11.4,11/7/2025 1:59:14 PM,0,1
,Mixed / non conventional,8,12,2,6,147.44,0.3,84.17,-1623.898,259.503,250,-23.56,0,0,0,0,0,0,0,0,8,12,2,6,0,0,0,0,3,0,776,201,2.991,0,0,,1,1,0,10.28,0,12.23,11.4,11/7/2025 1:59:16 PM,0,0
,Mixed / non conventional,8,12,6,10,152.54,0.26,691.9,2100.056,259.503,250,18.85,0,0,0,0,0,0,0,0,8,12,6,10,0,0,0,0,3,0,776,201,2.991,0,0,,1,2,0,10.28,0,12.23,11.4,11/7/2025 1:59:16 PM,0,0
,Mixed / non conventional,8,12,10,14,145.26,0.33,-291.59,1999.797,259.503,250,18.85,0,0,0,0,0,0,0,0,8,12,10,14,0,0,0,0,3,0,776,201,2.991,0,0,,1,3,0,10.28,0,12.23,11.4,11/7/2025 1:59:16 PM,0,0
,Mixed / non conventional,8,12,14,18,166.79,0.28,-29.87,-1836.996,259.503,250,-23.56,0,0,0,0,0,0,0,0,8,12,14,18,0,0,0,0,3,0,776,201,2.991,0,0,,1,4,0,10.28,0,12.23,11.4,11/7/2025 1:59:16 PM,0,0
,Mixed / non conventional,8,12,18,22,146.67,0.22,-2.65,-230.77,259.503,250,-164.93,0,0,0,0,0,0,0,0,8,12,18,22,0,0,0,0,3,0,776,201,2.991,0,0,,1,5,0,10.28,0,12.23,11.4,11/7/2025 1:59:16 PM,0,0
,Mixed / non conventional,8,12,22,26,111.02,0.42,16.68,-58.225,259.503,250,-494.8,0,0,0,0,0,0,0,0,8,12,22,26,0,0,0,0,3,0,776,201,2.991,0,0,,1,6,0,10.28,0,12.23,11.4,11/7/2025 1:59:16 PM,0,0
,Mixed / non conventional,8,12,26,30,111.58,0.36,131.41,-26.599,259.503,250,-1088.56,0,0,0,0,0,0,0,0,8,12,26,30,0,0,0,0,3,0,776,201,2.991,0,0,,1,7,0,10.28,0,12.23,11.4,11/7/2025 1:59:16 PM,0,1
,Mixed / non conventional,9,13,3,7,156.37,0.18,112.57,-2147.78,323.62,250,-23.56,0,0,0,0,0,0,0,0,9,13,3,7,0,0,0,0,3,0,670,217,2.07,0,0,,1,1,0,10.07,0,12.23,11.4,11/7/2025 1:59:18 PM,0,0
,Mixed / non conventional,9,13,7,11,150.32,0.18,595.87,2580.838,323.62,250,18.85,0,0,0,0,0,0,0,0,9,13,7,11,0,0,0,0,3,0,670,217,2.07,0,0,,1,2,0,10.07,0,12.23,11.4,11/7/2025 1:59:18 PM,0,0
,Mixed / non conventional,9,13,11,15,165.02,0.18,-278.1,2833.147,323.62,250,18.85,0,0,0,0,0,0,0,0,9,13,11,15,0,0,0,0,3,0,670,217,2.07,0,0,,1,3,0,10.07,0,12.23,11.4,11/7/2025 1:59:18 PM,0,0
,Mixed / non conventional,9,13,15,19,174.2,0.18,1.72,-2392.662,323.62,250,-23.56,0,0,0,0,0,0,0,0,9,13,15,19,0,0,0,0,3,0,670,217,2.07,0,0,,1,4,0,10.07,0,12.23,11.4,11/7/2025 1:59:18 PM,0,0
,Mixed / non conventional,9,13,19,23,154.32,0.16,13.87,-302.803,323.62,250,-164.93,0,0,0,0,0,0,0,0,9,13,19,23,0,0,0,0,3,0,670,217,2.07,0,0,,1,5,0,10.07,0,12.23,11.4,11/7/2025 1:59:18 PM,0,0
,Mixed / non conventional,9,13,23,27,102.85,0.23,13.43,-67.267,323.62,250,-494.8,0,0,0,0,0,0,0,0,9,13,23,27,0,0,0,0,3,0,670,217,2.07,0,0,,1,6,0,10.07,0,12.23,11.4,11/7/2025 1:59:18 PM,0,0
,Mixed / non conventional,9,13,27,31,120.73,0.21,-63.77,-35.893,323.62,250,-1088.56,0,0,0,0,0,0,0,0,9,13,27,31,0,0,0,0,3,0,670,217,2.07,0,0,,1,7,0,10.07,0,12.23,11.4,11/7/2025 1:59:18 PM,0,1
,Mixed / non conventional,10,14,4,8,162.44,0.1,121.83,-2115.525,306.859,250,-23.56,0,0,0,0,0,0,0,0,10,14,4,8,0,0,0,0,3,0,695,213,2.266,0,0,,1,1,0,10.13,0,12.26,11.4,11/7/2025 1:59:21 PM,0,0
,Mixed / non conventional,10,14,8,12,145.05,0.09,478.75,2361.276,306.859,250,18.85,0,0,0,0,0,0,0,0,10,14,8,12,0,0,0,0,3,0,695,213,2.266,0,0,,1,2,0,10.13,0,12.26,11.4,11/7/2025 1:59:21 PM,0,0
,Mixed / non conventional,10,14,12,16,195.87,0.1,-194.78,3188.593,306.859,250,18.85,0,0,0,0,0,0,0,0,10,14,12,16,0,0,0,0,3,0,695,213,2.266,0,0,,1,3,0,10.13,0,12.26,11.4,11/7/2025 1:59:21 PM,0,0
,Mixed / non conventional,10,14,16,20,191.7,0.08,-6.09,-2496.652,306.859,250,-23.56,0,0,0,0,0,0,0,0,10,14,16,20,0,0,0,0,3,0,695,213,2.266,0,0,,1,4,0,10.13,0,12.26,11.4,11/7/2025 1:59:21 PM,0,0
,Mixed / non conventional,10,14,20,24,156.32,0.07,13.68,-290.825,306.859,250,-164.93,0,0,0,0,0,0,0,0,10,14,20,24,0,0,0,0,3,0,695,213,2.266,0,0,,1,5,0,10.13,0,12.26,11.4,11/7/2025 1:59:21 PM,0,0
,Mixed / non conventional,10,14,24,28,117.69,0.11,-11.55,-72.988,306.859,250,-494.8,0,0,0,0,0,0,0,0,10,14,24,28,0,0,0,0,3,0,695,213,2.266,0,0,,1,6,0,10.13,0,12.26,11.4,11/7/2025 1:59:21 PM,0,0
,Mixed / non conventional,10,14,28,32,137.4,0.12,-9.26,-38.733,306.859,250,-1088.56,0,0,0,0,0,0,0,0,10,14,28,32,0,0,0,0,3,0,695,213,2.266,0,0,,1,7,0,10.13,0,12.26,11.4,11/7/2025 1:59:21 PM,0,1
,Mixed / non conventional,11,15,1,5,181.05,0.16,98.25,-330.948,301.495,250,-164.93,0,0,0,0,0,0,0,0,11,15,1,5,0,0,0,0,3,0,703,212,2.332,0,0,,1,1,0,10.13,0,12.21,11.4,11/7/2025 1:59:23 PM,0,0
,Mixed / non conventional,11,15,5,9,167.5,0.15,90.95,-2143.347,301.495,250,-23.56,0,0,0,0,0,0,0,0,11,15,5,9,0,0,0,0,3,0,703,212,2.332,0,0,,1,2,0,10.13,0,12.21,11.4,11/7/2025 1:59:23 PM,0,0
,Mixed / non conventional,11,15,9,13,165,0.15,512.97,2639.123,301.495,250,18.85,0,0,0,0,0,0,0,0,11,15,9,13,0,0,0,0,3,0,703,212,2.332,0,0,,1,3,0,10.13,0,12.21,11.4,11/7/2025 1:59:23 PM,0,0
,Mixed / non conventional,11,15,13,17,192.81,0.14,-330.97,3083.908,301.495,250,18.85,0,0,0,0,0,0,0,0,11,15,13,17,0,0,0,0,3,0,703,212,2.332,0,0,,1,4,0,10.13,0,12.21,11.4,11/7/2025 1:59:23 PM,0,0
,Mixed / non conventional,11,15,17,21,202.64,0.12,33.57,-2592.943,301.495,250,-23.56,0,0,0,0,0,0,0,0,11,15,17,21,0,0,0,0,3,0,703,212,2.332,0,0,,1,5,0,10.13,0,12.21,11.4,11/7/2025 1:59:23 PM,0,0
,Mixed / non conventional,11,15,21,25,161.76,0.12,27.71,-295.696,301.495,250,-164.93,0,0,0,0,0,0,0,0,11,15,21,25,0,0,0,0,3,0,703,212,2.332,0,0,,1,6,0,10.13,0,12.21,11.4,11/7/2025 1:59:23 PM,0,0
,Mixed / non conventional,11,15,25,29,141.5,0.16,4.17,-86.221,301.495,250,-494.8,0,0,0,0,0,0,0,0,11,15,25,29,0,0,0,0,3,0,703,212,2.332,0,0,,1,7,0,10.13,0,12.21,11.4,11/7/2025 1:59:23 PM,0,0
,Mixed / non conventional,11,15,29,33,153.14,0.13,-38.66,-42.415,301.495,250,-1088.56,0,0,0,0,0,0,0,0,11,15,29,33,0,0,0,0,3,0,703,212,2.332,0,0,,1,8,0,10.13,0,12.21,11.4,11/7/2025 1:59:23 PM,0,1
,Mixed / non conventional,12,16,2,6,196.17,0.25,169.63,-271.945,228.64,250,-164.93,0,0,0,0,0,0,0,0,12,16,2,6,0,0,0,0,3,0,800,183,3.499,0,0,,1,1,0,10.64,0,12.21,11.4,11/7/2025 1:59:25 PM,0,0
,Mixed / non conventional,12,16,6,10,178.01,0.16,18.34,-1727.372,228.64,250,-23.56,0,0,0,0,0,0,0,0,12,16,6,10,0,0,0,0,3,0,800,183,3.499,0,0,,1,2,0,10.64,0,12.21,11.4,11/7/2025 1:59:25 PM,0,0
,Mixed / non conventional,12,16,10,14,196.11,0.14,570.53,2378.785,228.64,250,18.85,0,0,0,0,0,0,0,0,12,16,10,14,0,0,0,0,3,0,800,183,3.499,0,0,,1,3,0,10.64,0,12.21,11.4,11/7/2025 1:59:25 PM,0,0
,Mixed / non conventional,12,16,14,18,174.6,0.19,-347.26,2117.863,228.64,250,18.85,0,0,0,0,0,0,0,0,12,16,14,18,0,0,0,0,3,0,800,183,3.499,0,0,,1,4,0,10.64,0,12.21,11.4,11/7/2025 1:59:25 PM,0,0
,Mixed / non conventional,12,16,18,22,205.78,0.13,8.52,-1996.824,228.64,250,-23.56,0,0,0,0,0,0,0,0,12,16,18,22,0,0,0,0,3,0,800,183,3.499,0,0,,1,5,0,10.64,0,12.21,11.4,11/7/2025 1:59:25 PM,0,0
,Mixed / non conventional,12,16,22,26,150,0.21,17.2,-207.945,228.64,250,-164.93,0,0,0,0,0,0,0,0,12,16,22,26,0,0,0,0,3,0,800,183,3.499,0,0,,1,6,0,10.64,0,12.21,11.4,11/7/2025 1:59:26 PM,0,0
,Mixed / non conventional,12,16,26,30,160.71,0.19,130.27,-74.26,228.64,250,-494.8,0,0,0,0,0,0,0,0,12,16,26,30,0,0,0,0,3,0,800,183,3.499,0,0,,1,7,0,10.64,0,12.21,11.4,11/7/2025 1:59:26 PM,0,0
,Mixed / non conventional,12,16,30,34,163.36,0.3,-152.66,-34.313,228.64,250,-1088.56,0,0,0,0,0,0,0,0,12,16,30,34,0,0,0,0,3,0,800,183,3.499,0,0,,1,8,0,10.64,0,12.21,11.4,11/7/2025 1:59:26 PM,0,1
,Mixed / non conventional,13,17,3,7,185.52,0.27,176.42,-292.382,259.94,250,-164.93,0,0,0,0,0,0,0,0,13,17,3,7,0,0,0,0,3,0,778,202,2.992,0,0,,1,1,0,10.25,0,12.23,11.4,11/7/2025 1:59:28 PM,0,0
,Mixed / non conventional,13,17,7,11,170.21,0.23,123.93,-1877.772,259.94,250,-23.56,0,0,0,0,0,0,0,0,13,17,7,11,0,0,0,0,3,0,778,202,2.992,0,0,,1,2,0,10.25,0,12.23,11.4,11/7/2025 1:59:28 PM,0,0
,Mixed / non conventional,13,17,11,15,192.65,0.21,328.52,2656.661,259.94,250,18.85,0,0,0,0,0,0,0,0,13,17,11,15,0,0,0,0,3,0,778,202,2.992,0,0,,1,3,0,10.25,0,12.23,11.4,11/7/2025 1:59:28 PM,0,0
,Mixed / non conventional,13,17,15,19,176.95,0.24,-217.28,2440.238,259.94,250,18.85,0,0,0,0,0,0,0,0,13,17,15,19,0,0,0,0,3,0,778,202,2.992,0,0,,1,4,0,10.25,0,12.23,11.4,11/7/2025 1:59:28 PM,0,0
,Mixed / non conventional,13,17,19,23,212.03,0.21,9.45,-2339.177,259.94,250,-23.56,0,0,0,0,0,0,0,0,13,17,19,23,0,0,0,0,3,0,778,202,2.992,0,0,,1,5,0,10.25,0,12.23,11.4,11/7/2025 1:59:28 PM,0,0
,Mixed / non conventional,13,17,23,27,156.38,0.19,12.27,-246.455,259.94,250,-164.93,0,0,0,0,0,0,0,0,13,17,23,27,0,0,0,0,3,0,778,202,2.992,0,0,,1,6,0,10.25,0,12.23,11.4,11/7/2025 1:59:28 PM,0,0
,Mixed / non conventional,13,17,27,31,175.82,0.19,-64.58,-92.364,259.94,250,-494.8,0,0,0,0,0,0,0,0,13,17,27,31,0,0,0,0,3,0,778,202,2.992,0,0,,1,7,0,10.25,0,12.23,11.4,11/7/2025 1:59:28 PM,0,0
,Mixed / non conventional,13,17,31,35,157.25,0.26,32.62,-37.55,259.94,250,-1088.56,0,0,0,0,0,0,0,0,13,17,31,35,0,0,0,0,3,0,778,202,2.992,0,0,,1,8,0,10.25,0,12.23,11.4,11/7/2025 1:59:28 PM,0,1
,Mixed / non conventional,14,18,4,8,160.46,0.08,189.26,-124.375,127.839,250,-164.93,0,0,0,0,0,0,0,0,14,18,4,8,0,0,0,0,3,0,281,36,2.195,0,0,,1,1,0,12.55,0,12.21,11.4,11/7/2025 1:59:30 PM,0,0
,Mixed / non conventional,14,18,8,12,166.98,0.03,136.4,-905.957,127.839,250,-23.56,0,0,0,0,0,0,0,0,14,18,8,12,0,0,0,0,3,0,281,36,2.195,0,0,,1,2,0,12.55,0,12.21,11.4,11/7/2025 1:59:30 PM,0,0
,Mixed / non conventional,14,18,12,16,174.62,0.07,342.16,1184.271,127.839,250,18.85,0,0,0,0,0,0,0,0,14,18,12,16,0,0,0,0,3,0,281,36,2.195,0,0,,1,3,0,12.55,0,12.21,11.4,11/7/2025 1:59:30 PM,0,0
,Mixed / non conventional,14,18,16,20,175.65,0.06,-296.07,1191.243,127.839,250,18.85,0,0,0,0,0,0,0,0,14,18,16,20,0,0,0,0,3,0,281,36,2.195,0,0,,1,4,0,12.55,0,12.21,11.4,11/7/2025 1:59:30 PM,0,0
,Mixed / non conventional,14,18,20,24,191.53,0.08,10.54,-1039.188,127.839,250,-23.56,0,0,0,0,0,0,0,0,14,18,20,24,0,0,0,0,3,0,281,36,2.195,0,0,,1,5,0,12.55,0,12.21,11.4,11/7/2025 1:59:30 PM,0,0
,Mixed / non conventional,14,18,24,28,176.11,0.09,-13.04,-136.505,127.839,250,-164.93,0,0,0,0,0,0,0,0,14,18,24,28,0,0,0,0,3,0,281,36,2.195,0,0,,1,6,0,12.55,0,12.21,11.4,11/7/2025 1:59:30 PM,0,0
,Mixed / non conventional,14,18,28,32,192.7,0.16,-9.91,-49.787,127.839,250,-494.8,0,0,0,0,0,0,0,0,14,18,28,32,0,0,0,0,3,0,281,36,2.195,0,0,,1,7,0,12.55,0,12.21,11.4,11/7/2025 1:59:30 PM,0,1
,Mixed / non conventional,14,18,32,36,121.58,0.13,-36.72,-34.811,311.678,250,-1088.56,0,0,0,0,0,0,0,0,14,18,32,36,0,0,0,0,3,0,686,214,2.2,0,0,,1,1,0,10.04,0,12.26,11.4,11/7/2025 1:59:32 PM,0,1
,Mixed / non conventional,15,19,1,5,141.15,0.27,121,-80.756,283.08,250,-494.8,0,0,0,0,0,0,0,0,15,19,1,5,0,0,0,0,3,0,741,210,2.619,0,0,,1,1,0,10.13,0,12.21,11.4,11/7/2025 1:59:35 PM,0,0
,Mixed / non conventional,15,19,5,9,149.52,0.18,128.55,-256.625,283.08,250,-164.93,0,0,0,0,0,0,0,0,15,19,5,9,0,0,0,0,3,0,741,210,2.619,0,0,,1,2,0,10.13,0,12.21,11.4,11/7/2025 1:59:35 PM,0,0
,Mixed / non conventional,15,19,9,13,174.34,0.16,-108.45,-2094.608,283.08,250,-23.56,0,0,0,0,0,0,0,0,15,19,9,13,0,0,0,0,3,0,741,210,2.619,0,0,,1,3,0,10.13,0,12.21,11.4,11/7/2025 1:59:35 PM,0,0
,Mixed / non conventional,15,19,13,17,176.52,0.15,429.35,2650.922,283.08,250,18.85,0,0,0,0,0,0,0,0,15,19,13,17,0,0,0,0,3,0,741,210,2.619,0,0,,1,4,0,10.13,0,12.21,11.4,11/7/2025 1:59:35 PM,0,0
