,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),SP (mV),VMN (mV),IAB (mA),Time (ms),Coef. k (m),yA (m),yB (m),yM (m),yN (m),zA (m),zB (m),zM (m),zN (m),N� electrode A,N� electrode B,N� electrode M,N� electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (�C),Rx-Bat (V),Rx Temp. (�C),Date,Gapfiller,Synch
,Mixed / non conventional,1,5,3,7,68.53,0.07,24.26,1558.253,428.575,250,18.85,0,0,0,0,0,0,0,0,1,5,3,7,0,0,0,0,3,0,525,225,1.224,0,0,,2,1,0,9.98,0,12.19,18.7,11/7/2025 3:28:53 PM,0,0
,Mixed / non conventional,1,5,7,11,91.67,0.13,-11.63,-1667.447,428.575,250,-23.56,0,0,0,0,0,0,0,0,1,5,7,11,0,0,0,0,3,0,525,225,1.224,0,0,,2,2,0,9.98,0,12.19,18.7,11/7/2025 3:28:53 PM,0,0
,Mixed / non conventional,1,5,11,15,100.68,0.26,146.55,-261.608,428.575,250,-164.93,0,0,0,0,0,0,0,0,1,5,11,15,0,0,0,0,3,0,525,225,1.224,0,0,,2,3,0,9.98,0,12.19,18.7,11/7/2025 3:28:53 PM,0,0
,Mixed / non conventional,1,5,15,19,53.74,0.08,-142.29,-46.544,428.575,250,-494.8,0,0,0,0,0,0,0,0,1,5,15,19,0,0,0,0,3,0,525,225,1.224,0,0,,2,4,0,9.98,0,12.19,18.7,11/7/2025 3:28:53 PM,0,0
,Mixed / non conventional,1,5,19,23,77.56,0.3,-8.66,-30.538,428.575,250,-1088.56,0,0,0,0,0,0,0,0,1,5,19,23,0,0,0,0,3,0,525,225,1.224,0,0,,2,5,0,9.98,0,12.19,18.7,11/7/2025 3:28:53 PM,0,1
,Mixed / non conventional,2,6,4,8,71.47,0.09,-22.8,1423.469,375.43,250,18.85,0,0,0,0,0,0,0,0,2,6,4,8,0,0,0,0,3,0,581,218,1.547,0,0,,2,1,0,9.98,0,12.19,19.2,11/7/2025 3:28:55 PM,0,0
,Mixed / non conventional,2,6,8,12,103.03,0.13,-29.1,-1641.723,375.43,250,-23.56,0,0,0,0,0,0,0,0,2,6,8,12,0,0,0,0,3,0,581,218,1.547,0,0,,2,2,0,9.98,0,12.19,19.2,11/7/2025 3:28:55 PM,0,0
,Mixed / non conventional,2,6,12,16,85.63,0.2,15.09,-194.919,375.43,250,-164.93,0,0,0,0,0,0,0,0,2,6,12,16,0,0,0,0,3,0,581,218,1.547,0,0,,2,3,0,9.98,0,12.19,19.2,11/7/2025 3:28:55 PM,0,0
,Mixed / non conventional,2,6,16,20,52.84,0.12,33.23,-40.095,375.43,250,-494.8,0,0,0,0,0,0,0,0,2,6,16,20,0,0,0,0,3,0,581,218,1.547,0,0,,2,4,0,9.98,0,12.19,19.2,11/7/2025 3:28:55 PM,0,0
,Mixed / non conventional,2,6,20,24,71.08,0.15,-23.97,-24.516,375.43,250,-1088.56,0,0,0,0,0,0,0,0,2,6,20,24,0,0,0,0,3,0,581,218,1.547,0,0,,2,5,0,9.98,0,12.19,19.2,11/7/2025 3:28:55 PM,0,1
