x,y,VCP2.3f30000h1,VCP4.2f30000h1,VCP6.7f10000h1
17.4,0,21.93,11.6,10.1
17.5,0,14.8,9.25,8.89
17.6,0,12.41,8.86,8.62
17.7,0,-6.58,4.37,6.83
17.8,0,-25.53,0.72,6.18
17.9,0,-38.19,-1.38,5.17
18,0,-18.38,2.34,6.83
18.1,0,-12.45,3.08,7.12
18.2,0,-6.56,3.98,6.99
18.3,0,-23.75,0.08,5.21
18.4,0,-52.08,-5.3,3.61
18.5,0,-63.25,-6.62,3.26
18.6,0,-53.69,-4.73,3.86
18.7,0,-19.84,1.85,6.08
18.8,0,-5.04,4.32,7.16
18.9,0,-3.03,4.01,6.62
19,0,-7.71,3.31,6.65
19.1,0,-29.81,-2.1,4.53
19.2,0,-59.9,-8.3,1.73
19.3,0,-89.01,-13.55,0.15
19.4,0,-82.02,-10.73,2.45
19.5,0,-44.12,-3.22,4.95
19.6,0,-30.62,-1.83,4.23
19.7,0,-30.85,-1.59,4.42
19.8,0,-48.75,-4.93,3.97
19.9,0,-68.65,-9.33,2.09
20,0,-88.19,-12.76,0.22
20.1,0,-72.17,-8.91,2
20.2,0,-21.29,0.65,5.16
20.3,0,-14.52,1.8,5.8
20.4,0,-16.51,1.44,5.52
20.5,0,-40.97,-4.05,3.51
20.6,0,-62.26,-8.17,2.21
20.7,0,-83.34,-11.87,0.73
20.8,0,-58.35,-7.01,2.03
20.9,0,-29.44,-1.68,4.31
21,0,-23.63,-0.38,4.41
21.1,0,-31.52,-2.17,4.05
21.2,0,-47.07,-5.78,2.81
21.3,0,-59.59,-7.45,2.81
21.4,0,-73.51,-10.3,2
21.5,0,-53.65,-7.54,1.88
21.6,0,-36.31,-3.23,4.24
21.7,0,-29.06,-2.59,4.05
21.8,0,-54.74,-7.85,2.01
21.9,0,-91.42,-15.29,-0.59
22,0,-114.99,-18.77,-1.95
22.1,0,-90.17,-13.82,0.21
22.2,0,-32.47,-2.51,3.98
22.3,0,-14.17,1.19,5.05
22.4,0,-8.85,2.36,5.26
22.5,0,-4.36,2.99,5.35
22.6,0,-38.75,-4.02,2.77
22.7,0,-61.57,-8.67,1.51
22.8,0,-52.61,-5.85,3.16
22.9,0,-43.62,-3.92,3.82
23,0,-20,-0.24,4.29
23.1,0,-20.04,-0.13,4.93
23.2,0,-46.61,-5.81,2.78
23.3,0,-60.27,-8.66,1.58
23.4,0,-67.41,-9.37,1.84
23.5,0,-63.35,-7.89,1.88
23.6,0,-41.41,-3.28,3.61
23.7,0,-11.02,2.85,5.74
23.8,0,-13.63,2.33,5.84
23.9,0,-28.57,-0.95,4.67
24,0,-38.29,-2.77,3.79
24.1,0,-29.15,-0.7,4.35
24.2,0,-10.93,3.06,5.68
24.3,0,-4.17,4.51,6.59
24.4,0,0.09,4.81,6.44
24.5,0,-2.21,3.97,6.09
24.6,0,-23.16,-0.7,4.64
24.7,0,-37.57,-2.87,3.98
24.8,0,-36.2,-2.18,3.82
24.9,0,-36.93,-2.25,3.77
25,0,-10.25,2.55,5.37
25.1,0,1.24,4.26,5.94
25.2,0,-11.55,2,4.97
25.3,0,-33.37,-2.42,3.63
25.4,0,-30.59,-2.12,2.93
25.5,0,-43.83,-13.78,-16.38
25.6,0,-11.49,3.72,6.81
25.7,0,9.29,6.53,7.66
25.8,0,-17.37,0.62,5.06
25.9,0,-40.89,-4,3.42
26,0,-55.25,-6.8,2.43
26.1,0,-55.86,-6.11,2.45
26.2,0,-47.96,-4.04,3.74
26.3,0,-18.68,1.2,5.02
26.4,0,-18.78,0.89,5.13
26.5,0,-21.65,0.47,4.97
26.6,0,-20.9,0.93,5.23
26.7,0,-29.85,-1.24,3.62
26.8,0,-42.67,-3.6,3.41
26.9,0,-17.06,1.46,5.19
27,0,-16.66,0.83,4.66
27.1,0,-23.39,-0.65,4.35
27.2,0,-33.64,-1.9,4.16
27.3,0,-28.37,-1.03,4.71
27.4,0,-29.4,-1.39,4.54
27.5,0,-23.89,0.02,4.67
27.6,0,-10.25,2.51,5.44
27.7,0,-19.83,0.03,5.33
27.8,0,-27.46,-1.12,5.05
27.9,0,-34.53,-2.55,3.96
28,0,-40.41,-3.61,3.51
28.1,0,-62.74,-7.82,1.95
28.2,0,-39.14,-3.1,4.07
28.3,0,-33.34,-1.91,4.32
28.4,0,-40.06,-3.34,3.58
28.5,0,-40.95,-3.62,2.95
28.6,0,-30.81,-1.18,3.73
28.7,0,-29.29,-0.64,5.17
28.8,0,-31.85,-1.42,4.9
28.9,0,-31.33,-2.25,3.87
29,0,-44.88,-5.05,3.15
29.1,0,-58.85,-8.63,1.88
29.2,0,-51.83,-6.9,2.86
29.3,0,-43.45,-5.83,2.36
29.4,0,-33.78,-3.89,2.94
29.5,0,-56.66,-8.83,1.54
29.6,0,-78.76,-12.53,0.27
29.7,0,-89.08,-13.76,0.08
29.8,0,-96.35,-14.53,-0.2
29.9,0,-93.55,-13.69,0.23
30,0,-28.91,-1.29,4.44
30.1,0,-5.54,3.6,6.41
30.2,0,-6.36,3.53,6.44
30.3,0,-11.91,1.98,5.76
30.4,0,-18.17,1.3,5.54
30.5,0,-25.06,0.24,5.2
30.6,0,-44.48,-4.65,2.22
30.7,0,-21.44,0.3,5.12
30.8,0,-12.32,2.31,5.24
30.9,0,-8.7,2.94,6.06
31,0,-13.19,1.39,5.2
31.1,0,-27.92,-0.69,5.02
31.2,0,-32.1,-0.87,5.05
31.3,0,-32.08,-1.09,4.66
31.4,0,-26.71,-0.01,5.16
31.5,0,-5.95,5.32,7.22
31.6,0,9.81,8.37,8.38
31.7,0,1.82,6.95,7.83
31.8,0,18.91,10.26,8.89
31.9,0,45.57,15.02,10.76
32,0,-0.8,4.89,7.05
32.1,0,-24.86,0.2,5.42
32.2,0,-16.27,2.39,6.63
32.3,0,-16.19,1.71,6.39
32.4,0,-23.93,-0.36,5.13
32.5,0,-40.82,-3.03,3.73
32.6,0,-49.9,-4.88,2.99
32.7,0,-29.38,-1.14,4.72
32.8,0,-26.46,-1.49,4.41
32.9,0,-37.75,-3.5,3.98
33,0,-35.21,-2.66,4.21
33.1,0,-32.53,-2.88,3.91
33.2,0,-31.25,-3.01,2.95
33.3,0,-46.31,-4.56,3.71
33.4,0,-48.09,-4.1,3.67
33.5,0,-37.36,-1.51,4.75
33.6,0,-31.25,-0.33,5.25
33.7,0,-9.75,4.31,6.7
33.8,0,31.23,11.92,9.49
33.9,0,9.1,7.21,7.86
34,0,-12.33,2.58,5.86
34.1,0,-16,3.5,8.34
34.2,0,-28.69,-0.84,4.49
34.3,0,-57.9,-6.73,2.54
34.4,0,-48.51,-5.83,3.02
34.5,0,-42.15,-4.05,3.61
34.6,0,-39.68,-3.7,4.04
34.7,0,-53.12,-6.51,2.53
34.8,0,-61.63,-8.48,1.73
34.9,0,-84.03,-11.97,0.76
35,0,-86.37,-12.7,0.53
35.1,0,-46.21,-5.11,3.61
35.2,0,-31.52,-2.78,4.13
35.3,0,-39.5,-4.41,3.48
35.4,0,-63.3,-8.97,1.88
35.5,0,-71.42,-9.62,1.78
35.6,0,-75.68,-10.33,1.65
35.7,0,-49.65,-5.11,3.96
35.8,0,-24.72,0.4,6.47
35.9,0,-24.22,-0.41,5.56
36,0,-36.98,-3.2,4.2
36.1,0,-35.25,-2.87,4.34
36.2,0,-41.31,-3.62,3.97
36.3,0,-55.04,-6.32,3.07
36.4,0,-37.02,-2.75,4.56
36.5,0,-25.03,0.2,6.06
36.6,0,-26.34,0.03,5.26
36.7,0,-35.45,-2.22,4.65
36.8,0,-35.65,-1.53,5.38
36.9,0,-21.69,1.44,6.14
37,0,-17.87,2.12,6.61
37.1,0,-9.35,3.6,7.23
37.2,0,-6.35,4.41,7.23
37.3,0,-7.62,3.55,7.08
37.4,0,-9.55,3.36,6.88
37.5,0,-2.89,4.47,7.32
37.6,0,-20.61,1.1,5.97
37.7,0,-22.46,0.69,5.76
37.8,0,-19.37,0.91,5.99
37.9,0,-22.69,-0.26,5.67
38,0,-25.86,-1.21,5.27
38.1,0,-30.99,-1.91,4.93
38.2,0,-35.75,-2.26,4.67
38.3,0,-62.59,-6.73,3.64
38.4,0,-46.84,-3.92,4.42
38.5,0,-25.58,0.77,5.92
38.6,0,-19.32,1.8,6.14
38.7,0,-16.06,2.42,6.89
38.8,0,-10.61,3.7,7.22
38.9,0,-3.7,4.55,7.14
39,0,-9.85,3.84,6.93
39.1,0,-7.93,3.69,6.97
39.2,0,-5.99,4.32,7.49
39.3,0,-16.67,2.24,6.65
39.4,0,-21.79,1.47,6.21
39.5,0,-15.44,3.61,8.14
39.6,0,0.74,8.3,10.68
39.7,0,-3.43,6.27,8.06
39.8,0,2.99,8.03,9.12
39.9,0,8.59,9.24,9.19
40,0,1.68,8.02,8.6
40.1,0,19.6,11.59,9.92
40.2,0,38.56,16.56,13.55
40.3,0,25.51,12.63,10.17
40.4,0,24.5,12.79,10.73
40.5,0,30.66,13.54,11.1
40.6,0,25.84,12.78,10.54
40.7,0,19.85,11.26,9.98
40.8,0,22.99,11.78,9.98
40.9,0,26.38,11.79,10.01
41,0,24.2,11.02,9.72
41.1,0,11.5,8.64,8.96
41.2,0,-4.81,6.29,8.29
41.3,0,-18.77,3.72,7.6
41.4,0,-14.05,5.49,8.49
41.5,0,30.34,14.05,11.74
41.6,0,50.98,17.31,12.12
41.7,0,37.57,14.65,11.23
41.8,0,18.62,11.41,9.9
41.9,0,9.41,9.63,9.28
42,0,9.28,9.79,9.56
42.1,0,34.51,14.79,11.4
42.2,0,45.59,16.3,11.95
42.3,0,35.36,13.52,10.75
42.4,0,15.82,9.07,8.68
42.5,0,-12.1,4,7.01
42.6,0,-20.3,2.67,7.18
42.7,0,-13.59,4.46,7.66
42.8,0,7.85,8.53,9.12
42.9,0,27.47,11.72,10.1
43,0,15.07,8.94,8.62
43.1,0,-10.19,4.21,7.46
43.2,0,-21.29,2,6.57
43.3,0,-29.62,1.32,6.91
43.4,0,-19.16,4.74,9.48
43.5,0,7.19,8.87,9.04
43.6,0,23.34,11.47,9.95
43.7,0,6.55,8.18,8.76
43.8,0,-9.1,5.07,7.66
43.9,0,-11.12,5.21,7.96
44,0,3.51,8.19,9.2
44.1,0,11.46,9.38,9.17
44.2,0,16.8,10.19,9.56
44.3,0,6.3,8.15,8.67
44.4,0,-0.07,6.65,7.86
44.5,0,-2.75,6.12,7.59
44.6,0,5.48,7.52,7.49
44.7,0,9.84,8.82,8.32
44.8,0,14.83,9.9,9.41
44.9,0,4.15,7.18,8.28
45,0,-7.45,5.02,8.01
45.1,0,-28.01,1.3,6.63
45.2,0,-24.78,2.37,6.86
45.3,0,2.44,7.7,8.79
45.4,0,20.23,11.33,10.27
45.5,0,9.59,8.99,9.51
45.6,0,5.47,8.83,9.22
45.7,0,5.39,8.77,8.88
45.8,0,13.35,10.97,10
45.9,0,26.02,13.68,11.01
46,0,38.8,15.8,11.29
46.1,0,28.62,13.75,10.96
46.2,0,22.92,13.11,10.88
46.3,0,32.18,14.7,11.34
46.4,0,35.2,15.2,11.2
46.5,0,25.37,12.76,10.76
46.6,0,23.47,12.03,10.14
46.7,0,27.03,12.17,10.28
46.8,0,22.54,11.11,9.99
46.9,0,-4.06,5.6,8.19
47,0,-23.2,2.39,6.94
47.1,0,-22.84,3.22,7.38
47.2,0,-6.59,6.61,8.48
47.3,0,28.88,14.12,11.05
47.4,0,40.39,16.32,11.61
47.5,0,28.91,14.04,11.28
47.6,0,33.57,15.13,11.81
47.7,0,34.56,15.12,11.81
47.8,0,36.72,14.97,11.51
47.9,0,36.35,14.52,10.97
48,0,20.81,11.2,9.95
48.1,0,-0.2,6.91,8.29
