x,y,HCP2.3f30000h1,HCP4.2f30000h1,HCP6.7f10000h1
17.8,0,5.79,9.18,10.83
17.9,0,5.84,9.33,11.2
18,0,4.98,7.55,8.39
18.1,0,6.68,9.2,10.41
18.2,0,8.3,9.28,10.91
18.3,0,9.64,9.67,10.93
18.4,0,9.31,9.84,11.07
18.5,0,7.24,9.42,10.82
18.6,0,7.32,9.08,10.43
18.7,0,7.21,9.08,10.66
18.8,0,8.62,9.47,11.33
18.9,0,10.48,9.68,10.97
19,0,9.44,9.96,11.78
19.1,0,2.53,7.86,10.47
19.2,0,0.03,7.37,10.43
19.3,0,0.5,7.46,10.37
19.4,0,2.41,7.9,10.72
19.5,0,7.05,8.62,10.54
19.6,0,9.64,9.64,11.26
19.7,0,6.71,9.45,11.54
19.8,0,6.04,9.15,10.91
19.9,0,7.08,9.59,11.58
20,0,5.77,8.84,11.46
20.1,0,9.44,9.83,11.61
20.2,0,11.39,10.42,12.05
20.3,0,9.15,10.35,12.08
20.4,0,8.39,9.83,11.38
20.5,0,8.73,10.3,11.95
20.6,0,8.05,9.97,12.04
20.7,0,10.96,10.91,12.28
20.8,0,12.26,11.44,13.06
20.9,0,9.58,10.77,12.28
21,0,8.22,10.66,12.62
21.1,0,8.18,10.49,12.56
21.2,0,6.5,9.48,11.62
21.3,0,10.27,10.47,11.69
21.4,0,11.63,11.06,12.28
21.5,0,9.82,10.97,12.9
21.6,0,9.37,10.52,12.52
21.7,0,7.53,10.05,12.28
21.8,0,7.86,10.18,12.4
21.9,0,10.56,10.97,12.79
22,0,10.06,10.93,12.41
22.1,0,4.23,9.46,11.72
22.2,0,5.3,9.9,12.57
22.3,0,4.48,9.48,12
22.4,0,4.97,9.64,12.13
22.5,0,9.97,10.94,13.13
22.6,0,11,10.99,12.67
22.7,0,9.05,10.66,12.49
22.8,0,9.27,11.2,12.97
22.9,0,8.69,11.44,13.85
23,0,8.24,10.66,12.9
23.1,0,10.5,11.53,14.15
23.2,0,11.45,11.77,13.7
23.3,0,9.21,11.33,13.32
23.4,0,8.38,11.13,13.36
23.5,0,7.49,10.85,13.78
23.6,0,7.42,10.63,13.55
23.7,0,11.68,11.9,14.32
23.8,0,13.54,12.68,15.1
23.9,0,9.6,11.85,14.85
24,0,5.15,10.95,14.34
24.1,0,4.28,10.56,14.11
24.2,0,7.51,11.07,14.36
24.3,0,12.73,12.42,14.69
24.4,0,14.04,12.72,14.65
24.5,0,10.04,11.86,14.27
24.6,0,8.97,12.16,15.05
24.7,0,9.57,12.25,14.86
24.8,0,11.76,12.38,14.49
24.9,0,13.77,13.07,15.21
25,0,12.43,13.34,15.68
25.1,0,11.05,13.36,15.66
25.2,0,11.85,13.41,15.3
25.3,0,13.49,13.08,15.1
25.4,0,14.78,13.93,16.22
25.5,0,12.81,12.96,15.01
25.6,0,9.99,12.53,14.97
25.7,0,5.47,11.04,14.13
25.8,0,8.53,10.72,13.55
25.9,0,7.84,10.17,13.31
26,0,4.45,9.7,12.86
26.1,0,5.48,10.51,13.08
26.2,0,6.36,11.07,14.02
26.3,0,8.57,10.96,13.48
26.4,0,13.77,11.91,13.43
26.5,0,12.53,11.38,12.49
26.6,0,4.53,10.16,13.46
26.7,0,4.64,10.48,13.25
26.8,0,6.48,10.28,12.59
26.9,0,9.98,10.85,12.82
27,0,13.7,11.95,13.66
27.1,0,10.36,10.73,12.49
27.2,0,3.9,10,13.28
27.3,0,7.74,10.62,12.9
27.4,0,9.49,10.78,12.37
27.5,0,11.84,10.92,11.88
27.6,0,11.57,11.05,12.19
27.7,0,7.48,10.85,13.3
27.8,0,9.37,10.75,12.14
27.9,0,10.26,11.07,12.73
28,0,12.12,11.66,13.22
28.1,0,12.53,11.41,12.61
28.2,0,7.82,10.33,12.51
28.3,0,5.61,9.71,12.12
28.4,0,7.34,9.76,11.58
28.5,0,10.75,10.32,11.8
28.6,0,10.77,10.08,10.77
28.7,0,6.5,8.79,9.97
28.8,0,6.06,9.8,12.18
28.9,0,6.61,9.85,12.48
29,0,9.67,10.77,12.61
29.1,0,11.47,10.72,12.6
29.2,0,9.43,10.63,12.21
29.3,0,8.35,10.34,12.21
29.4,0,7.04,10.1,12.32
29.5,0,8.15,10.16,12.11
