x,y,HCP2.3f30000h1,HCP4.2f30000h1,HCP6.7f10000h1,VCP2.3f30000h1,VCP4.2f30000h1,VCP6.7f10000h1
44.3,0,11.67,14.89,19.94,-0.57,6.81,8.46
44.4,0,12.51,15.11,19.31,-6.56,5.79,8.05
44.5,0,11.23,15.06,20.06,-14.32,4.69,7.24
44.6,0,10.78,15.06,20.29,-13.33,6.16,8.65
44.7,0,10.83,14.94,20.22,13.9,11.63,10.6
44.8,0,11.58,16.01,21.59,41.6,17.08,12.3
44.9,0,12.58,15.83,20.63,42.89,17.16,12.08
45,0,13.57,16.28,21.04,35.38,15.6,11.72
45.1,0,11.26,16.03,21.57,42.43,16.37,11.89
45.2,0,10.28,16.19,21.89,23.25,11.66,10.34
45.3,0,8.76,15.29,21.16,-1.76,6.94,8.59
45.4,0,9.8,15.38,21.21,-5.82,6.37,8.59
45.5,0,12.24,16.36,21.78,4.21,8.58,9.29
45.6,0,13.39,17.38,22.61,16.67,11.27,10.45
45.7,0,12,17.7,23.64,18.52,11.6,10.47
45.8,0,12.88,17.93,23.47,23.72,12.76,10.44
45.9,0,12.65,17.7,22.91,18.93,12.24,10.39
46,0,13.67,18.17,23.88,8.07,10.59,10
46.1,0,15.88,19.63,25.31,24.32,14.02,11.65
46.2,0,14.01,19.42,25.09,53.76,19.31,13.26
46.3,0,11.99,19.11,25.23,33.98,15.34,11.61
46.4,0,13.02,19.55,25.32,31.64,15.09,11.68
46.5,0,14.24,20.36,26.29,42.58,16.81,12.34
46.6,0,15.97,21.27,27.8,22.45,12.71,10.76
46.7,0,17.46,22.19,28.13,4.99,9.18,9.68
46.8,0,16.91,22.4,28.01,22.17,12.98,11.11
46.9,0,18.13,23.29,29.32,41.84,16.54,12.26
47,0,18.72,23.84,29.88,23.51,12.33,11.04
47.1,0,20.15,24.72,30.87,20.44,11.88,10.79
47.2,0,20.95,25.74,32.11,9.11,9.91,9.71
47.3,0,21.44,26.5,33.18,0.09,7.88,9.21
47.4,0,19.9,26.89,33.95,-4.05,7.77,9.49
47.5,0,18.56,27.74,35.86,14.28,11.76,11.13
47.6,0,18.04,28.02,36.36,19.97,12.61,10.65
47.7,0,22.21,28.97,36.39,19.76,12.49,11.01
47.8,0,22.62,30.72,39.22,33.52,16.01,12.22
47.9,0,23.63,31.13,39.36,46.5,18.52,12.98
48,0,22.12,29.85,37.78,47.2,18.52,13.07
48.1,0,22.1,28.58,35.77,52.05,19.25,13.57
48.2,0,23.61,28.27,34.46,51.02,19.04,13.27
48.3,0,24.24,26.38,31.26,30.5,14.31,11.47
48.4,0,25.86,29.12,34.56,21.26,12.61,11.19
48.5,0,26.52,29.49,34.34,9.12,10.45,9.96
48.6,0,27.43,30.8,36.77,5.24,9.56,9.76
48.7,0,27.55,32.37,39.16,14.46,10.25,8.56
48.8,0,28.22,32.75,40.05,31.69,14.76,11.9
48.9,0,29.15,33.64,41.03,24.77,13.01,10.79
49,0,29.29,34,41.27,22.49,12.55,10.85
49.1,0,29.43,34.21,41.9,14.08,9.31,8.06
49.2,0,29.62,34.69,42.32,4.25,9.49,10.61
49.3,0,29.54,34.85,42.51,-9.11,6.26,9.27
49.4,0,28.74,33.06,39.78,-1.67,7.53,9.7
49.5,0,27.39,30.58,36.13,15.23,11.11,10.72
49.6,0,26.15,28.14,32.93,26.11,13.27,11.87
49.7,0,24.62,26.34,30.62,15.24,11.59,10.98
49.8,0,23.24,24.64,28.28,17.36,11.93,10.7
49.9,0,23.25,24.95,28.71,20.54,12.68,11
50,0,23,24.71,28.31,32.54,14.92,11.7
50.1,0,22.66,24.25,27.72,45.79,17.52,12.94
50.2,0,22.9,24.75,28.78,35.96,14.67,11.54
50.3,0,22.79,24.59,28.36,26.03,13.04,11.07
50.4,0,23.37,25.66,29.62,11.52,10.18,9.6
50.5,0,23.17,25.12,29.49,2.75,8.21,9
50.6,0,22.79,24.64,28.44,10.67,10.4,9.86
50.7,0,23.14,25.1,29.11,42.04,16.51,12.44
50.8,0,23.72,25.97,29.74,40.78,15.18,11.4
50.9,0,23.39,25.58,29.59,19.07,10.56,9.9
51,0,23.21,25.24,29.3,7.52,8.08,8.82
51.1,0,23.7,26.15,30.16,-4.88,5.24,7.32
51.2,0,23.77,26.3,30.49,-3.07,5.38,7.12
51.3,0,23.25,25.34,29.19,-3.81,5.52,7.61
51.4,0,22.66,24.3,27.96,18.02,10.05,9.13
51.5,0,23.14,24.61,28.44,23.78,10.98,9.16
51.6,0,22.42,23.45,26.75,11.74,8.9,8.66
51.7,0,22.26,23.41,27.02,14.36,10.38,9.11
51.8,0,22.47,23.83,27.61,43.31,16,11.15
51.9,0,21.83,23.14,26.8,50.48,17.2,10.93
52,0,21.76,23.33,26.7,45.44,16.02,11.21
52.1,0,21.89,23.45,27.26,34.03,14.04,10.23
52.2,0,22.03,23.92,27.83,33.28,13.76,10.18
52.3,0,21.82,23.6,27.47,28.24,12.83,9.68
52.4,0,21.73,23.67,27.49,30.83,13.46,10.17
52.5,0,21.7,23.63,27.74,32.18,13.41,10.41
52.6,0,22,23.75,27.49,34.61,13.85,10.61
52.7,0,21.88,23.71,27.64,27.77,12.7,10.01
52.8,0,21.73,23.45,27.35,25.26,12.19,9.77
52.9,0,21.64,23.87,27.86,31.65,13.36,10.07
53,0,21.63,23.82,27.79,36.95,14.4,10.86
53.1,0,21.71,23.68,27.53,28.5,11.96,9.26
53.2,0,24.23,28.2,34.4,38.54,13.28,9.52
53.3,0,24.43,28.31,34.07,18.41,8.95,8.78
53.4,0,24.75,29.28,36.08,-22.73,1.47,6.66
53.5,0,24.99,29.56,35.97,-24.2,1.19,6.43
53.6,0,24.98,29.48,36.06,-9.17,4.42,7.59
53.7,0,25,29.8,36.87,6.76,8.08,8.91
53.8,0,24.82,29.91,36.38,10.62,8.65,9.04
53.9,0,24.92,29.65,35.83,0.13,6.82,8.35
54,0,24.87,29.51,36.23,-9.2,5.68,8.32
54.1,0,25.03,29.72,36.4,-2.2,8.02,9.59
54.2,0,25.22,29.95,37.6,16.78,11.26,10.48
54.3,0,25.03,29.87,36.98,20.72,12.03,10.68
54.4,0,24.98,29.97,36.91,18.18,11.94,11.51
54.5,0,25.24,30.22,37.23,24.71,12.89,11.48
