x,y,HCP2.3f30000h1,HCP4.2f30000h1,HCP6.7f10000h1,VCP2.3f30000h1,VCP4.2f30000h1,VCP6.7f10000h1
10.3,0,25.3,23.41,29.08,2.39,8.32,9.23
10.4,0,25.52,23.8,29.49,8.49,10.78,11.13
10.5,0,24.92,23.59,28.6,22.65,12.84,10.8
10.6,0,25.02,23.83,29.56,37.57,15.03,11.37
10.7,0,24.13,23.41,29.45,26.37,13.12,10.89
10.8,0,24.01,23.55,29.19,9.9,9.54,9.21
10.9,0,23.5,23.41,28.62,7.9,9.05,9.12
11,0,23.03,23.31,29.45,18.22,12.27,11.06
11.1,0,22.61,22.31,28.1,7.67,8.99,9.23
11.2,0,21.53,21.27,26.21,9.16,8.88,9.14
11.3,0,20.12,20.16,14.21,15.04,10,9.55
11.4,0,18.79,19.07,20.27,17.58,10.69,10.1
11.5,0,16.27,18.33,33.63,5.52,8.35,9.11
11.6,0,15.21,17.91,22.41,-2.59,6.76,7.61
11.7,0,13.94,17.08,22.71,10.48,9.65,9.49
11.8,0,14.49,16.72,17.16,10.6,9.02,8.85
11.9,0,15.64,16.98,15.86,5.4,7.18,8.47
12,0,14.15,16.31,20.03,9.83,8.18,9.15
12.1,0,9,14.57,16.07,-3.15,5.16,7.51
12.2,0,8.83,14.49,16.22,-32.15,-0.82,5.07
12.3,0,11.24,14.61,17.38,-49.79,-4.09,4.2
12.4,0,12.68,14.92,18.71,-44.04,-2.49,5.34
12.5,0,13.05,14.76,17.84,-17.33,3.2,6.65
12.6,0,13.82,14.75,17.61,2.54,7.08,8.37
12.7,0,13.39,14.6,17.39,9.49,8.56,8.75
12.8,0,12.5,14.07,17.31,8.63,8.21,8.48
12.9,0,12.52,13.72,16.98,-8.95,4.6,7.13
13,0,12.67,13.52,16.7,-18.93,3.26,6.61
13.1,0,13.17,13.96,16.79,-21.87,3.39,7.09
13.2,0,13.34,14.03,16.33,13.12,10.34,8.96
13.3,0,12.61,13.3,15.37,21.93,11.6,10.1
13.4,0,11.16,12.64,15.08,14.8,9.25,8.89
13.5,0,9.84,12.17,14.8,12.41,8.86,8.62
13.6,0,10.52,12.44,14.87,-6.58,4.37,6.83
13.7,0,10.64,12.49,14.32,-25.53,0.72,6.18
13.8,0,11.58,12.32,14.32,-38.19,-1.38,5.17
13.9,0,12,12.04,13.63,-18.38,2.34,6.83
14,0,12.44,11.98,13.6,-12.45,3.08,7.12
14.1,0,10.32,11.75,13.58,-6.56,3.98,6.99
14.2,0,7.18,10.66,13.01,-23.75,0.08,5.21
14.3,0,8.77,11.16,13.4,-52.08,-5.3,3.61
14.4,0,9.23,11.16,12.86,-63.25,-6.62,3.26
14.5,0,10.3,10.76,12.25,-53.69,-4.73,3.86
14.6,0,12.29,11.57,12.89,-19.84,1.85,6.08
14.7,0,9.74,10.88,12.52,-5.04,4.32,7.16
14.8,0,7.79,10.58,11.94,-3.03,4.01,6.62
14.9,0,8.24,10.75,12.25,-7.71,3.31,6.65
15,0,8.2,10.19,11.93,-29.81,-2.1,4.53
15.1,0,9.86,10.65,11.93,-59.9,-8.3,1.73
15.2,0,11.16,11.03,12.25,-89.01,-13.55,0.15
15.3,0,7.19,10.02,12.04,-82.02,-10.73,2.45
15.4,0,5.68,9.84,11.78,-44.12,-3.22,4.95
15.5,0,7.23,9.91,11.07,-30.62,-1.83,4.23
15.6,0,7.85,10.16,11.71,-30.85,-1.59,4.42
15.7,0,10.67,10.46,11.76,-48.75,-4.93,3.97
15.8,0,10.74,10.3,11.46,-68.65,-9.33,2.09
15.9,0,6.83,9.46,10.72,-88.19,-12.76,0.22
16,0,5.08,9.06,10.69,-72.17,-8.91,2
16.1,0,7.49,9.95,11.25,-21.29,0.65,5.16
16.2,0,10.03,10.85,12.16,-14.52,1.8,5.8
16.3,0,10.73,10.82,12.05,-16.51,1.44,5.52
16.4,0,10.65,10.17,11.46,-40.97,-4.05,3.51
16.5,0,8.44,9.53,10.86,-62.26,-8.17,2.21
16.6,0,6.18,8.93,10.64,-83.34,-11.87,0.73
16.7,0,7.25,9.55,10.79,-58.35,-7.01,2.03
16.8,0,6.91,9.27,10.68,-29.44,-1.68,4.31
16.9,0,7.18,9.28,11.13,-23.63,-0.38,4.41
17,0,8.4,9.58,10.64,-31.52,-2.17,4.05
17.1,0,7.83,9.56,10.6,-47.07,-5.78,2.81
17.2,0,6.06,9.21,11,-59.59,-7.45,2.81
17.3,0,5.29,8.53,10.36,-73.51,-10.3,2
17.4,0,5.31,8.66,10.46,-53.65,-7.54,1.88
17.5,0,7.3,9.1,10.39,-36.31,-3.23,4.24
17.6,0,7.75,9.47,10.73,-29.06,-2.59,4.05
17.7,0,7.49,9.36,10.65,-54.74,-7.85,2.01
17.8,0,5.79,9.18,10.83,-91.42,-15.29,-0.59
17.9,0,5.84,9.33,11.2,-114.99,-18.77,-1.95
18,0,4.98,7.55,8.39,-90.17,-13.82,0.21
18.1,0,6.68,9.2,10.41,-32.47,-2.51,3.98
18.2,0,8.3,9.28,10.91,-14.17,1.19,5.05
18.3,0,9.64,9.67,10.93,-8.85,2.36,5.26
18.4,0,9.31,9.84,11.07,-4.36,2.99,5.35
18.5,0,7.24,9.42,10.82,-38.75,-4.02,2.77
18.6,0,7.32,9.08,10.43,-61.57,-8.67,1.51
18.7,0,7.21,9.08,10.66,-52.61,-5.85,3.16
18.8,0,8.62,9.47,11.33,-43.62,-3.92,3.82
18.9,0,10.48,9.68,10.97,-20,-0.24,4.29
19,0,9.44,9.96,11.78,-20.04,-0.13,4.93
19.1,0,2.53,7.86,10.47,-46.61,-5.81,2.78
19.2,0,0.03,7.37,10.43,-60.27,-8.66,1.58
19.3,0,0.5,7.46,10.37,-67.41,-9.37,1.84
19.4,0,2.41,7.9,10.72,-63.35,-7.89,1.88
19.5,0,7.05,8.62,10.54,-41.41,-3.28,3.61
19.6,0,9.64,9.64,11.26,-11.02,2.85,5.74
19.7,0,6.71,9.45,11.54,-13.63,2.33,5.84
19.8,0,6.04,9.15,10.91,-28.57,-0.95,4.67
19.9,0,7.08,9.59,11.58,-38.29,-2.77,3.79
20,0,5.77,8.84,11.46,-29.15,-0.7,4.35
20.1,0,9.44,9.83,11.61,-10.93,3.06,5.68
20.2,0,11.39,10.42,12.05,-4.17,4.51,6.59
20.3,0,9.15,10.35,12.08,0.09,4.81,6.44
20.4,0,8.39,9.83,11.38,-2.21,3.97,6.09
20.5,0,8.73,10.3,11.95,-23.16,-0.7,4.64
20.6,0,8.05,9.97,12.04,-37.57,-2.87,3.98
20.7,0,10.96,10.91,12.28,-36.2,-2.18,3.82
20.8,0,12.26,11.44,13.06,-36.93,-2.25,3.77
20.9,0,9.58,10.77,12.28,-10.25,2.55,5.37
21,0,8.22,10.66,12.62,1.24,4.26,5.94
21.1,0,8.18,10.49,12.56,-11.55,2,4.97
21.2,0,6.5,9.48,11.62,-33.37,-2.42,3.63
21.3,0,10.27,10.47,11.69,-30.59,-2.12,2.93
21.4,0,11.63,11.06,12.28,-43.83,-13.78,-16.38
21.5,0,9.82,10.97,12.9,-11.49,3.72,6.81
21.6,0,9.37,10.52,12.52,9.29,6.53,7.66
