x [m],y [m],Cond.1 [mS/m],Inph.1 [ppt],Cond.2 [mS/m],Inph.2 [ppt],Cond.3 [mS/m],Inph.3 [ppt],Inv.Cond.1 [mS/m],Inv.Cond.2 [mS/m],Inv.Thick [m],Inv.RMS [%],Note
0,0,18.49,2.18,17.89,2.93,21.26,4.52,13.4,20,1,9.4,
0,0,17.97,2.01,18.6,2.77,21.58,4.59,11.33,25.38,1.8,3.3,
0,0,19.48,1.94,20.56,2.9,25.56,5.1,13.1,37.26,3.1,6.2,
0,0,21.81,2.07,22.47,3.15,27.54,5.07,14.11,40.14,3.1,5.8,
0,0,23.59,2.34,23.22,3.44,28.27,6.14,14.49,41.21,3.1,7.6,
0,0,24.09,2.48,23.14,3.51,28.54,5.52,17.98,26.85,1,9.5,
0,0,23.98,2.39,23.72,3.49,29.05,5.72,15.39,46.34,3.3,7,
0,0,23.55,2.31,23.57,3.38,30.09,5.83,15.94,48,3.3,5.7,
0,0,23.81,2.27,23.71,3.41,30.3,6.12,16.05,48.34,3.3,5.5,
0,0,24.04,2.28,23.75,3.43,29.25,5.58,15.5,46.66,3.3,6.7,
0,0,24.45,2.31,23.66,3.44,28.77,4.88,19.78,31.17,2.1,9.7,
0,0,24.84,2.35,23.79,3.45,32,4.99,16,48,3.2,10.6,
0,0,24.73,2.37,23.49,3.44,29.43,5.89,15.59,46.95,3.3,6.8,
0,0,24.75,2.37,23.63,3.51,26.76,6.14,19.78,30.35,3,4.2,
0,0,24.8,2.39,23.68,3.46,28.63,5.16,18.04,26.94,1,9.3,
0,0,25.05,2.39,23.95,3.5,26.63,5.37,19.69,30.2,3,4.6,
0,0,24.96,2.4,23.53,3.53,28.89,6.41,19.86,31.3,2.1,8.8,
0,0,24.67,2.4,22.9,3.45,28.04,5.79,17.67,26.38,1,8.2,
0,0,25.07,2.4,23.44,3.48,29.26,5.39,20.12,31.7,2.1,8.5,
0,0,25.14,2.4,23.55,3.48,29.6,5.11,20.35,32.07,2.1,8.5,
0,0,25.26,2.39,23.49,3.44,28.92,5.21,19.88,31.33,2.1,8.4,
0,0,25.54,2.37,23.83,3.42,29.69,5.88,20.41,32.16,2.1,8.3,
0,0,24.67,2.27,23.33,3.32,28.44,5.47,17.92,26.76,1,8.9,
0,0,23.71,2.07,23.56,3.12,29.4,5.41,15.58,46.9,3.3,5.6,
0,0,23.32,2,23.42,3.04,29.93,5.22,15.86,47.75,3.3,5.9,
0,0,24.46,2.2,23.54,3.24,29.4,5.49,15.58,46.9,3.3,6.6,
0,0,25.03,2.38,23.55,3.42,28.21,5.88,17.77,26.54,1,8.7,
0,0,25.45,2.46,23.78,3.54,30.51,5.36,16.16,48.67,3.3,6.8,
0,0,25.64,2.46,23.73,3.51,30.55,5.32,16.18,48.73,3.3,7.1,
0,0,25.59,2.44,23.79,3.52,30.41,6.94,16.11,48.51,3.3,7,
0,0,25.52,2.43,23.94,3.48,29.25,5.94,20.11,31.69,2.1,8.6,
0,0,25.62,2.44,23.9,3.5,30.6,5.61,16.21,48.81,3.3,6.8,
0,0,25.37,2.44,23.46,3.46,29.59,5.87,20.34,32.06,2.1,8.2,
0,0,25.31,2.44,23.68,3.51,29.16,5.62,20.05,31.59,2.1,8.5,
0,0,25.3,2.42,23.41,3.42,29.08,5.46,19.99,31.5,2.1,8.2,
