x,y,VCP0.32f30000h0,VCP0.71f30000h0,VCP1.18f30000h0,elevation,HCP0.32f30000h0,HCP0.71f30000h0,HCP1.18f30000h0
771386.2559000001,5084652.393966666,23.14,33.24333333333333,42.06666666666667,0,30.02666666666667,41.57999999999999,44.06666666666666
771386.2844666666,5084652.091899999,23.183333333333334,33.32333333333333,42.24333333333333,0,30.02666666666667,41.57999999999999,44.06666666666666
771386.2977,5084651.632366666,23.903333333333336,33.68666666666667,42.28333333333333,0,30.02666666666667,41.57999999999999,44.06666666666666
771386.3108,5084650.9443666665,24.94333333333333,34.16,42.18666666666667,0,30.486666666666668,41.53666666666667,43.74
771386.3391333333,5084650.185266667,25.62,34.050000000000004,41.75333333333333,0,30.486666666666668,41.53666666666667,43.74
771386.3701999999,5084649.343766667,25.69,33.85,41.43333333333334,0,30.486666666666668,41.53666666666667,43.74
771386.3888333333,5084648.490866668,25.936666666666667,34.059999999999995,41.66,0,30.486666666666668,41.53666666666667,43.74
771386.3790333333,5084647.629966666,25.98,34.43333333333333,41.86666666666667,0,30.98333333333333,41.23,43.28666666666667
771386.3533333334,5084646.772366666,26.036666666666665,34.723333333333336,42.32999999999999,0,30.05,40.89333333333333,43.39333333333334
771386.2923666667,5084645.920966666,25.263333333333332,34.23666666666667,41.92333333333334,0,30.96,41.25666666666666,43.18000000000001
771386.2120666667,5084645.0724,25.313333333333333,34.13333333333333,41.72,0,29.616666666666664,39.79333333333333,42.31333333333333
771386.1222,5084644.220633335,24.706666666666667,33.303333333333335,40.78,0,26.126666666666665,36.833333333333336,40.513333333333335
771386.0420666666,5084643.362800001,24.593333333333334,33.0,40.49666666666666,0,22.933333333333334,33.92,38.64333333333334
771385.9864333333,5084642.5085,23.45,31.950000000000003,39.59333333333333,0,21.16333333333333,31.616666666666664,36.60999999999999
771385.9454666668,5084641.663833334,23.39333333333333,31.98,39.5,0,20.78333333333333,31.77666666666666,37.42
771385.9231333333,5084640.818433334,24.070000000000004,32.28,39.36,0,20.78333333333333,31.77666666666666,37.42
771385.9047,5084639.9627,25.210000000000004,33.25,40.10666666666667,0,20.21333333333333,31.54,37.64333333333334
771385.8707666667,5084639.0809,25.46333333333333,33.276666666666664,39.93,0,20.21333333333333,31.54,37.64333333333334
771385.8174333334,5084638.183433333,24.7,32.74,39.63666666666666,0,18.633333333333336,29.61,36.13
771385.7485000001,5084637.2723,24.063333333333333,32.17333333333333,39.123333333333335,0,18.83,29.786666666666665,35.556666666666665
771385.6834,5084636.3632,24.12,32.330000000000005,39.20333333333334,0,19.30666666666667,31.223333333333333,36.71666666666667
771385.6355333333,5084635.469366667,24.656666666666663,32.6,39.1,0,19.87,31.92,37.38666666666666
771385.6011333334,5084634.5888,24.21666666666667,32.22333333333333,38.696666666666665,0,20.44,32.46,37.70333333333333
771385.5705666667,5084633.723866667,24.063333333333333,31.746666666666663,37.88333333333333,0,21.07333333333333,33.053333333333335,37.98666666666667
771385.5303999999,5084632.8613,22.19,29.906666666666663,36.29,0,20.996666666666663,32.88333333333333,37.60666666666666
771385.4727666667,5084632.0029,20.83666666666667,28.296666666666667,34.78,0,20.50333333333333,32.37333333333333,37.1
771385.4072666666,5084631.146333333,18.49,26.08666666666667,33.193333333333335,0,20.05333333333333,31.72,36.37
771385.3246999999,5084630.305066667,18.31,25.73,32.7,0,20.176666666666662,31.576666666666664,36.01
771385.2328666666,5084629.477333333,18.39333333333333,25.633333333333336,32.31666666666667,0,20.0,31.119999999999997,35.47666666666667
771385.1366333333,5084628.662066667,19.28666666666667,26.4,32.77333333333333,0,19.94,30.846666666666664,35.14333333333334
771385.0451666666,5084627.8458,19.33666666666667,26.543333333333333,32.86666666666667,0,19.596666666666668,30.50333333333333,34.83
771384.9768333333,5084627.029633333,19.4,26.543333333333333,32.849999999999994,0,19.77333333333333,30.55666666666666,34.586666666666666
771384.9268,5084626.214566667,18.986666666666665,25.91333333333333,32.083333333333336,0,19.80666666666667,30.42333333333333,34.29
771384.8636333334,5084625.393666667,19.41333333333333,26.08333333333333,32.03333333333333,0,19.866666666666664,30.36666666666666,34.11
771384.7690333333,5084624.5658,19.523333333333337,26.11,31.9,0,19.766666666666666,30.10666666666666,33.73666666666666
771384.6413000001,5084623.714533333,20.183333333333334,26.71,32.303333333333335,0,19.786666666666665,29.969999999999995,33.54666666666666
771384.5119333334,5084622.8468,20.1,26.58,32.21,0,19.563333333333333,29.67666666666666,33.22666666666667
771384.4082333334,5084621.955166667,20.26,26.686666666666667,32.349999999999994,0,19.396666666666665,29.45333333333333,32.91333333333333
771384.3318666667,5084621.056066667,19.77,26.206666666666667,32.016666666666666,0,19.05666666666667,29.049999999999997,32.406666666666666
771384.2839333332,5084620.1443,20.183333333333334,26.613333333333333,32.35,0,19.02,28.936666666666664,32.10666666666666
771384.2370666666,5084619.2273,20.320000000000004,26.80666666666667,32.473333333333336,0,19.12333333333333,28.87666666666666,31.96666666666667
771384.1841666666,5084618.310366667,20.723333333333333,27.266666666666666,32.903333333333336,0,19.71333333333333,29.23666666666666,32.080000000000005
771384.1241,5084617.3987,20.48,27.046666666666667,32.830000000000005,0,19.94,29.463333333333328,32.23
771384.0662666666,5084616.500733334,20.666666666666668,27.27333333333333,33.096666666666664,0,19.94333333333333,29.51333333333333,32.333333333333336
771384.0177999999,5084615.6112,21.063333333333333,27.69,33.49666666666667,0,19.813333333333333,29.579999999999995,32.413333333333334
