x,y,depth,EC
771344.8636333334,5084651.206866667,0.1,6.119853471937606
771344.8645333335,5084651.206266667,0.1,6.095786376809752
771344.8200333333,5084651.107866667,0.1,5.993885305738438
771344.7323333332,5084650.911066666,0.1,5.714957221527438
771344.5639333334,5084650.504533333,0.1,5.397501373466248
771344.3581,5084649.9865666665,0.1,5.193605150968878
771344.0742666667,5084649.2268,0.1,4.113163241488849
771343.7499333335,5084648.3366,0.1,3.3295939461565105
771343.3775333334,5084647.207166667,0.1,2.95689826694354
771342.9976,5084645.968866666,0.1,3.999221835327059
771342.7105,5084644.677733333,0.1,6.071607406384054
771342.5237666667,5084643.442633334,0.1,6.6319988249501485
771342.4895333335,5084642.306666668,0.1,6.8228269723627335
771342.5074,5084641.213833333,0.1,6.252029953169018
771342.5482000001,5084640.165566667,0.1,6.766520303898371
771342.5597666666,5084639.118833333,0.1,7.120680006662823
771342.5342333334,5084638.0312,0.1,7.704861145164543
771342.5008,5084636.901166667,0.1,7.881401199765083
771342.485,5084635.6946,0.1,7.54033189611868
771342.4946666667,5084634.453899999,0.1,7.191989851790424
771342.5208333334,5084633.201866667,0.1,6.623168351701082
771342.5380000001,5084631.972633333,0.1,6.485486811636559
771342.5213333332,5084630.756433334,0.1,6.620043050910116
771342.4798,5084629.530499999,0.1,6.43392170190188
771342.3914,5084628.259833333,0.1,6.379385259578175
771342.281,5084626.9542,0.1,6.984799411627709
771342.1302333333,5084625.632866667,0.1,7.447252489131806
771341.9611333333,5084624.330833334,0.1,7.66787321173987
771341.7492666667,5084623.082866666,0.1,8.308520464359315
771341.5129999999,5084621.869733333,0.1,8.290487265055232
771341.2780666667,5084620.709533333,0.1,8.330760256346505
771341.0689,5084619.567466666,0.1,7.376580285666652
771340.9541999999,5084618.443433333,0.1,7.407050551406181
771340.9082000001,5084617.3193333335,0.1,6.836677360186201
771340.9376,5084616.1954666665,0.1,6.658240191484262
771340.9736666667,5084615.0719,0.1,6.297180732036196
771340.9486666666,5084613.946866666,0.1,6.398722074649482
771340.8559,5084612.8201,0.1,6.1269319952826
771340.6152666666,5084611.657166667,0.1,6.501966851842978
771340.2944666665,5084610.4598,0.1,7.341760867481321
771339.9380333334,5084609.203033333,0.1,7.682517994155152
771339.6261,5084607.921333333,0.1,7.505200805373903
771339.4477333333,5084606.652899999,0.1,7.208094023974651
771339.3584333333,5084605.4227,0.1,7.491638630410602
771339.3584666667,5084604.234133333,0.1,7.762563583281478
771339.3588,5084603.049,0.1,7.26217769444399
771339.3361666667,5084601.835333333,0.1,7.214901211359304
771339.2903333333,5084600.589733333,0.1,7.080962815946105
771339.2226,5084599.326133334,0.1,7.566519519406361
771339.1562,5084598.076533333,0.1,7.796460813711704
771339.1091333333,5084596.809533333,0.1,7.792035364780348
771339.0800666666,5084595.5112,0.1,6.985156055303103
771339.0748333334,5084594.176766667,0.1,6.386795850237828
771339.0754000001,5084592.837633333,0.1,6.0810090725198815
771339.0689333333,5084591.550766666,0.1,5.854355918033328
771339.0496333333,5084590.320866667,0.1,6.133555916433249
771339.0174666666,5084589.1479,0.1,6.391766830545221
771338.9853,5084587.974933333,0.1,7.002598914692625
771338.9518999999,5084586.7608,0.1,6.680265198935063
771338.9172666665,5084585.5055,0.1,6.194818388010871
771338.8745666667,5084584.2031333335,0.1,5.326919226203662
771338.8249666666,5084582.8949,0.1,5.59638412825624
771338.7480666667,5084581.588866666,0.1,5.800073249968044
771338.6507,5084580.2909,0.1,6.283817703910353
771338.5457,5084578.990133334,0.1,5.83321015680596
771338.4535,5084577.6785,0.1,6.050677244045861
771338.3780333333,5084576.349966667,0.1,6.179972108339603
771338.3065,5084575.015433333,0.1,6.988896534345409
771338.2144333333,5084573.6809,0.1,6.637588791837201
771338.0978999999,5084572.352433334,0.1,6.40982363864693
771337.9702,5084571.037066667,0.1,5.788782544170516
