x,y,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,depth1,depth2,depth3,depth4,depth5,depth6,depth7,depth8,depth9,depth10,depth11,depth12,depth13,depth14
771344.8636333334,5084651.206866667,6.119853471937606,9.250406533990478,18.690739757689727,28.42471722655501,35.90584104624332,40.90487570593669,43.89759042356404,45.42865125777614,45.939842455282076,45.75355536824806,45.09580716871612,44.12278834758432,42.94210943212161,41.62805581734011,40.232098124059675,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
771344.8645333335,5084651.206266667,6.095786376809752,9.234837603977716,18.67010047071336,28.397243704800257,35.87438082632569,40.872622761137215,43.86701410369065,45.401439239613204,45.91707255852904,45.73587524607873,45.083573656843704,44.11616581605777,42.94113664511708,41.63269069492944,40.24224754522905,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
771344.8200333333,5084651.107866667,5.993885305738438,9.195353522993909,18.665385934369176,28.4066200556,35.887944958029465,40.885951862297674,43.87819179742755,45.40968944974237,45.92214274497354,45.73775339865888,45.082355595523396,44.111991854982335,42.9341611233386,41.62306745483011,40.23012329145044,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
771344.7323333332,5084650.911066666,5.714957221527438,9.069326062273863,18.597671731348,28.34967670641778,35.829160764721294,40.82493642463885,43.81771440347651,45.352722640035566,45.87107077100893,45.694284425400696,45.04763030938833,44.08672160977835,42.918747265932566,41.61769302452224,40.234820130011315,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
771344.5639333334,5084650.504533333,5.397501373466248,8.945857800440521,18.584011873388015,28.381803418233304,35.87583219796599,40.87181205287129,43.85832144335737,45.384255921169355,45.89246487169086,45.70530942249267,45.04845579832404,44.07770121194069,42.90031020953583,41.590289236121016,40.19889272619089,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
771344.3581,5084649.9865666665,5.193605150968878,8.859162282802288,18.560190320340396,28.383979785302476,35.88755394674631,40.88602814627169,43.87198709099939,45.39606758823019,45.90190026317428,45.71220528438499,45.05281504808059,44.079601958409,42.89986183872399,41.58761098986528,40.19410333285407,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
771344.0742666667,5084649.2268,4.113163241488849,8.406705102971582,18.427815928390103,28.370920892779477,35.909583661408504,40.910934321155175,43.888484004531506,45.401091167586614,45.895505223038334,45.69551380689268,45.02720158249527,44.046384371239824,42.86020013706461,41.542489309007735,40.14434306874518,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
771343.7499333335,5084648.3366,3.3295939461565105,8.060095109838432,18.24409319052011,28.21167891911812,35.73846119259966,40.72771656836684,43.70233789728411,45.22169935761947,45.73066728489231,45.550882585369635,44.9066234335757,43.9523321729981,42.794148793948935,41.505205567909194,40.13609856658541,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
771343.3775333334,5084647.207166667,2.95689826694354,7.904543259723415,18.174440014947674,28.156667201664728,35.67662651757479,40.65666744188454,43.62538645481622,45.14308186396688,45.65406758332139,45.479127071658695,44.84175043693175,43.895751236276126,42.74679620589989,41.46767127330325,40.10872279553069,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
771342.9976,5084645.968866666,3.9992218353270594,7.926263891260948,17.86626263782971,27.885838774597353,35.53594196952335,40.638086975629754,43.69567421710528,45.268924406034024,45.80850953797004,45.64198509070131,44.99843587927562,44.03592211108885,42.86322526463398,41.55538420785004,40.16436723722302,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
