	-4.42285e+00	-9.89874e+01	 1.00000e+02	 2.00000e+00
	-5.36454e+02	-3.02606e+02	 1.00000e+02	 2.00000e+00
	-4.80767e+02	-2.46365e+02	 1.00000e+02	 2.00000e+00
	 1.57733e+02	-2.37243e+01	 1.00000e+02	 2.00000e+00
	-2.28624e+01	-1.68197e+01	 1.00000e+02	 2.00000e+00
	-4.26441e+01	-1.75305e+01	 1.00000e+02	 2.00000e+00
	-4.38128e+01	-8.60335e+00	 1.00000e+02	 2.00000e+00
	-4.72946e+01	-9.40797e+01	 1.00000e+02	 2.00000e+00
	 9.44404e+01	-7.96982e+01	 1.00000e+02	 2.00000e+00
	 1.25123e+02	-7.72901e+01	 1.00000e+02	 2.00000e+00
	 1.65970e+02	-6.90091e+01	 1.00000e+02	 2.00000e+00
	 4.64373e+01	-9.89770e+01	 1.00000e+02	 2.00000e+00
	-2.54264e+01	-4.68714e+01	 1.00000e+02	 2.00000e+00
	 6.53978e+01	-3.56974e+01	 1.00000e+02	 2.00000e+00
	-9.90124e+01	-3.51123e+02	 1.00000e+02	 2.00000e+00
	 6.19992e+01	-3.77233e+01	 1.00000e+02	 2.00000e+00
	 1.59105e+02	-8.58118e+00	 1.00000e+02	 2.00000e+00
	-1.61265e+01	-8.90223e+00	 1.00000e+02	 2.00000e+00
	 8.06082e+00	-1.23841e+02	 1.00000e+02	 2.00000e+00
	-6.14277e+02	-3.73353e+01	 1.00000e+02	 2.00000e+00
	-2.82498e+01	-1.41550e+01	 1.00000e+02	 2.00000e+00
	 9.44950e+00	-3.72108e+01	 1.00000e+02	 2.00000e+00
	-2.80700e+01	-4.08170e+02	 1.00000e+02	 2.00000e+00
	-3.46228e+01	-1.99223e+01	 1.00000e+02	 2.00000e+00
	 9.22248e+01	-3.81075e+01	 1.00000e+02	 2.00000e+00
	-5.86068e+01	-7.41766e+01	 1.00000e+02	 2.00000e+00
	-3.36053e+02	-3.64821e+02	 1.00000e+02	 2.00000e+00
	 1.60005e+02	-4.83413e+00	 1.00000e+02	 2.00000e+00
	-1.71799e+01	-5.03941e+00	 1.00000e+02	 2.00000e+00
	 1.75603e+01	-7.81476e+01	 1.00000e+02	 2.00000e+00
	 1.61744e+02	-8.59580e+01	 1.00000e+02	 2.00000e+00
	 4.69112e+02	-3.57129e+02	 1.00000e+02	 2.00000e+00
	-1.73303e+02	-3.54240e+02	 1.00000e+02	 2.00000e+00
	-5.29245e+02	-1.78165e+02	 1.00000e+02	 2.00000e+00
