3032 1635 1
1 330 350 361 1 1
2 299 292 431 2 1
3 292 299 429 3 1
4 344 286 346 4 1
5 331 290 368 5 1
6 314 278 315 6 1
7 244 278 314 7 1
8 327 330 383 8 1
9 353 354 360 9 1
10 354 357 366 10 1
11 357 340 375 11 1
12 350 351 419 12 1
13 320 317 382 13 1
14 435 283 436 14 1
15 257 289 424 15 1
16 283 401 436 16 1
17 369 291 441 17 1
18 290 347 442 18 1
19 330 349 350 19 1
20 252 131 376 20 1
21 290 314 368 21 1
22 395 379 410 22 1
23 257 258 289 23 1
24 314 315 368 24 1
25 386 364 387 25 1
26 327 383 422 26 1
27 256 298 299 27 1
28 291 274 441 28 1
29 242 290 442 29 1
30 384 350 430 30 1
31 340 357 426 31 1
32 294 260 297 32 1
33 298 257 424 33 1
34 376 292 429 34 1
35 334 376 429 35 1
36 386 365 391 36 1
37 377 321 379 37 1
38 256 257 298 38 1
39 131 253 376 39 1
40 133 264 374 40 1
41 258 295 415 41 1
42 344 346 440 42 1
43 363 365 386 43 1
44 353 360 362 44 1
45 259 260 294 45 1
46 290 331 347 46 1
47 385 364 386 47 1
48 259 294 450 48 1
49 294 297 370 49 1
50 273 291 300 50 1
51 299 298 371 51 1
52 378 379 395 52 1
53 305 291 440 53 1
54 300 291 305 54 1
55 273 274 291 55 1
56 242 243 290 56 1
57 258 259 295 57 1
58 130 129 307 58 1
59 284 377 379 59 1
60 255 299 431 60 1
61 362 387 388 61 1
62 423 332 424 62 1
63 361 350 384 63 1
64 281 393 394 64 1
65 277 272 300 65 1
66 372 373 449 66 1
67 330 361 383 67 1
68 295 259 450 68 1
69 350 349 351 69 1
70 355 373 426 70 1
71 246 276 324 71 1
72 339 338 444 72 1
73 322 408 409 73 1
74 272 273 300 74 1
75 255 256 299 75 1
76 260 261 297 76 1
77 244 245 278 77 1
78 271 272 277 78 1
79 275 270 345 79 1
80 261 134 433 80 1
81 301 300 305 81 1
82 424 332 448 82 1
83 313 357 375 83 1
84 347 331 425 84 1
85 353 351 354 85 1
86 297 261 428 86 1
87 264 265 335 87 1
88 306 305 346 88 1
89 99 318 377 89 1
90 243 244 314 90 1
91 374 335 427 91 1
92 253 254 292 92 1
93 262 263 293 93 1
94 351 353 419 94 1
95 362 363 387 95 1
96 373 355 417 96 1
97 99 238 285 97 1
98 241 130 286 98 1
99 362 360 363 99 1
100 277 300 301 100 1
101 129 281 307 101 1
102 251 252 334 102 1
103 333 279 341 103 1
104 362 388 436 104 1
105 263 133 374 105 1
106 379 381 410 106 1
107 340 303 375 107 1
108 392 309 411 108 1
109 399 400 432 109 1
110 322 405 407 110 1
111 390 388 397 111 1
112 327 329 330 112 1
113 274 98 441 113 1
114 1 242 442 114 1
115 265 288 335 115 1
116 366 356 367 116 1
117 301 305 306 117 1
118 250 287 341 118 1
119 365 366 367 119 1
120 321 320 382 120 1
121 293 374 427 121 1
122 250 251 287 122 1
123 265 266 288 123 1
124 304 312 346 124 1
125 245 246 324 125 1
126 316 324 325 126 1
127 338 275 444 127 1
128 253 292 376 128 1
129 371 287 429 129 1
130 132 255 431 130 1
131 246 247 276 131 1
132 269 270 275 132 1
133 318 321 377 133 1
134 270 271 345 134 1
135 309 392 414 135 1
136 380 382 384 136 1
137 248 279 336 137 1
138 357 356 366 138 1
139 266 267 342 139 1
140 262 293 433 140 1
141 330 348 349 141 1
142 355 416 417 142 1
143 248 249 279 143 1
144 267 268 280 144 1
145 268 269 337 145 1
146 287 371 438 146 1
147 324 276 325 147 1
148 409 410 413 148 1
149 358 402 432 149 1
150 249 250 341 150 1
151 247 248 336 151 1
152 445 343 449 152 1
153 356 308 394 153 1
154 240 241 344 154 1
155 357 354 426 155 1
156 369 344 440 156 1
157 413 381 430 157 1
158 413 358 432 158 1
159 287 334 429 159 1
160 293 263 374 160 1
161 416 355 421 161 1
162 373 340 426 162 1
163 239 240 369 163 1
