    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
   43   48        18   23       -0.16874         1313.53075     1306.48523         0.31375E+02    0.31375E+02    0
   44   49        18   23       -0.07387         1266.38320     1263.34302         0.30734E+02    0.30734E+02    0
   45   50        18   23        0.02195         1214.91148     1215.80322         0.29915E+02    0.29915E+02    0
   46   51        18   23        0.21646         1168.53934     1177.31181         0.28942E+02    0.28942E+02    0
   47   52        18   23        0.39985         1141.10221     1157.55663         0.27929E+02    0.27929E+02    0
   48   53        18   23        0.47722         1110.01532     1129.99050         0.26757E+02    0.26757E+02    0
   49   54        18   23        0.71342         1048.21030     1079.19954         0.25153E+02    0.24486E+02    1
   50   55        18   23        0.73443         1021.73301     1055.63134         0.23772E+02    0.22502E+02    1
   51   56        18   23        0.78955          990.09312     1028.93440         0.22266E+02    0.20518E+02    1
   52   57        18   23        0.90622          944.15052      991.79188         0.20526E+02    0.18409E+02    1
   53   58        18   23        0.93910          906.57247      958.74208         0.18876E+02    0.16784E+02    1
   54   59        18   23        0.99637          871.91413      930.39436         0.17287E+02    0.15348E+02    1
   55   60        18   23        1.04246          828.46762      892.69203         0.15617E+02    0.13962E+02    1
   56   61        18   23        1.04414          796.98749      863.90601         0.14190E+02    0.12951E+02    1
   57   62        18   23        1.07252          768.49190      840.66252         0.12889E+02    0.11949E+02    1
   58   63        18   23        1.05344          743.85806      817.47037         0.11727E+02    0.11163E+02    1
   59   64        18   23        1.04755          726.31660      803.07651         0.10745E+02    0.10427E+02    1
   60   65        18   23        1.10219          711.33345      798.01067         0.98702E+01    0.95858E+01    1
   61   66        18   23        1.11189          706.96370      800.42808         0.91929E+01    0.89548E+01    1
   62   67        18   23        1.12883          687.00396      788.73205         0.83900E+01    0.81748E+01    1
   63   68        18   23        1.14535          680.15485      791.45931         0.77961E+01    0.75572E+01    1
   64   69        18   23        1.15268          674.68602      795.76270         0.72636E+01    0.69837E+01    1
   65   70        18   23        1.15037          670.94612      801.32461         0.67899E+01    0.64782E+01    1
   66   71        18   23        1.16804          651.45808      794.29551         0.62082E+01    0.58920E+01    1
   67   72        18   23        1.16977          652.46661      805.79985         0.58539E+01    0.55420E+01    1
   68   73        18   23        1.18754          647.43028      814.28421         0.54757E+01    0.51790E+01    1
   69   74        18   23        1.17090          627.20039      798.59239         0.50080E+01    0.48467E+01    1
   70   75        18   23        1.15940          589.98591      765.43462         0.44533E+01    0.44533E+01    0
   71   76        18   23        1.09383          564.25378      740.31625         0.40278E+01    0.40278E+01    0
   72   77        18   23        1.00888          541.43121      713.40244         0.36576E+01    0.36576E+01    0
   73   78        18   23        0.94995          497.39539      670.31559         0.31839E+01    0.31839E+01    0
   74   79        18   23        0.90049          489.07652      662.51333         0.29668E+01    0.29668E+01    0
   75   80        18   23        0.86389          477.63021      654.04065         0.27483E+01    0.27483E+01    0
   76   81        18   23        0.83087          466.78806      646.59132         0.25499E+01    0.25499E+01    0
   77   82        18   23        0.80310          449.45368      634.13574         0.23330E+01    0.23330E+01    0
   78   83        18   23        0.78641          434.06833      626.54638         0.21427E+01    0.21427E+01    0
   79   84        18   23        0.77522          424.00418      625.73981         0.19919E+01    0.19919E+01    0
   80   85        18   23        0.77559          416.35383      631.36889         0.18628E+01    0.18628E+01    0
   81   86        18   23        0.76715          417.15308      642.08886         0.17788E+01    0.17788E+01    0
   82   87        18   23        0.77064          420.74435      660.09328         0.17112E+01    0.17112E+01    0
   83   88        18   23        0.75281          434.29266      678.77593         0.16857E+01    0.16857E+01    0
   84   89        18   23        0.71756          430.05696      674.47897         0.15945E+01    0.15945E+01    0
   85   90        18   23        0.67746          415.69300      658.38320         0.14733E+01    0.14733E+01    0
   86   91        18   23        0.63362          407.66076      644.80114         0.13819E+01    0.13819E+01    0
   88   93        18   23        0.55387          367.01643      596.48430         0.11405E+01    0.11405E+01    0
   89   94        18   23        0.51950          342.40807      569.91509         0.10197E+01    0.10197E+01    0
   25   30        19   24        4.33028          957.74077     1148.54680         0.33333E+02    0.23835E+02    1
   26   31        19   24        1.07133         1310.52184     1353.32644         0.33333E+02    0.33333E+02    0
   27   32        19   24       -0.67141         1537.66085     1502.24595         0.33333E+02    0.28815E+02    1
   28   33        19   24       -1.00519         1665.35877     1603.17954         0.33332E+02    0.26416E+02    1
   29   34        19   24       -1.02271         1730.41100     1664.69822         0.33330E+02    0.26416E+02    1
   30   35        19   24       -0.99060         1767.98249     1704.46583         0.33327E+02    0.27075E+02    1
   31   36        19   24       -0.82504         1760.52969     1711.95190         0.33323E+02    0.29486E+02    1
   32   37        19   24       -0.85110         1800.69103     1752.50815         0.33316E+02    0.31380E+02    1
   33   38        19   24       -0.70863         1813.80449     1775.61953         0.33305E+02    0.33305E+02    0
   34   39        19   24       -0.61519         1851.36214     1817.46390         0.33290E+02    0.33290E+02    0
   35   40        19   24       -0.47124         1871.74552     1845.42030         0.33269E+02    0.33269E+02    0
   36   41        19   24       -0.51012         1861.44566     1833.09512         0.33238E+02    0.33238E+02    0
   37   42        19   24       -0.32253         1759.39264     1742.37337         0.33180E+02    0.33180E+02    0
   38   43        19   24       -0.42784         1682.21945     1660.61483         0.33099E+02    0.33099E+02    0
   39   44        19   24       -0.34059         1591.99429     1575.63525         0.32974E+02    0.32974E+02    0
   40   45        19   24       -0.40439         1534.03143     1515.24150         0.32812E+02    0.32812E+02    0
   41   46        19   24       -0.43024         1478.16486     1458.77960         0.32591E+02    0.32591E+02    0
   42   47        19   24       -0.30147         1403.97754     1390.92081         0.32266E+02    0.32266E+02    0
   43   48        19   24       -0.44186         1373.66305     1354.77055         0.31906E+02    0.31906E+02    0
   44   49        19   24       -0.34706         1327.15704     1312.57462         0.31412E+02    0.31412E+02    0
   45   50        19   24       -0.29280         1277.54324     1265.44568         0.30774E+02    0.30774E+02    0
   46   51        19   24       -0.10162         1231.55442     1227.38876         0.29993E+02    0.29993E+02    0
   47   52        19   24        0.08192         1205.18177     1208.57241         0.29158E+02    0.29158E+02    0
   48   53        19   24        0.16696         1174.37183     1181.35420         0.28164E+02    0.28164E+02    0
   49   54        19   24        0.45428         1110.47149     1129.48295         0.26761E+02    0.26761E+02    0
   50   55        19   24        0.49233         1084.77080     1105.90182         0.25519E+02    0.25519E+02    0
   51   56        19   24        0.59156         1052.76206     1078.90216         0.24119E+02    0.24119E+02    0
   52   57        19   24        0.75269         1005.19075     1040.68759         0.22452E+02    0.21689E+02    1
   53   58        19   24        0.80958          965.84644     1006.59249         0.20815E+02    0.19592E+02    1
   54   59        19   24        0.87763          930.48647      977.34581         0.19210E+02    0.17862E+02    1
   55   60        19   24        0.95352          884.19176      938.05954         0.17464E+02    0.16123E+02    1
   56   61        19   24        0.95998          851.55907      908.05509         0.15953E+02    0.14945E+02    1
   57   62        19   24        1.00101          821.68944      883.76279         0.14547E+02    0.13745E+02    1
   58   63        19   24        0.99884          794.79517      859.46161         0.13261E+02    0.12769E+02    1
   59   64        19   24        0.87508          786.45110      844.39695         0.12309E+02    0.12309E+02    0
   60   65        19   24        0.96016          770.69917      839.07622         0.11327E+02    0.11296E+02    1
   61   66        19   24        1.07156          757.39452      841.62390         0.10448E+02    0.10162E+02    1
   62   67        19   24        1.09906          736.18958      829.33954         0.95424E+01    0.92248E+01    1
   63   68        19   24        1.11510          729.98460      832.15991         0.88787E+01    0.85121E+01    1
   66   71        19   24        1.15761          699.07779      834.47624         0.70621E+01    0.65386E+01    1
   67   72        19   24        1.15939          700.47028      846.13858         0.66572E+01    0.61366E+01    1
   68   73        19   24        1.18216          694.69803      854.38393         0.62199E+01    0.57136E+01    1
   69   74        19   24        1.16403          673.36000      837.28362         0.56887E+01    0.53425E+01    1
   70   75        19   24        1.15774          633.36597      801.68489         0.50561E+01    0.49126E+01    1
   71   76        19   24        1.12479          605.44811      774.49235         0.45679E+01    0.45679E+01    0
   72   77        19   24        1.03239          581.02061      745.32282         0.41456E+01    0.41456E+01    0
   73   78        19   24        0.97518          533.43374      699.17318         0.36042E+01    0.36042E+01    0
   74   79        19   24        0.92454          523.57140      689.98658         0.33498E+01    0.33498E+01    0
   75   80        19   24        0.88584          511.02098      680.12397         0.30988E+01    0.30988E+01    0
   76   81        19   24        0.85197          498.92826      671.36683         0.28700E+01    0.28700E+01    0
   77   82        19   24        0.82419          480.07146      657.38128         0.26221E+01    0.26221E+01    0
   78   83        19   24        0.80891          463.16205      648.45009         0.24038E+01    0.24038E+01    0
   79   84        19   24        0.79832          451.99738      646.47622         0.22308E+01    0.22308E+01    0
   80   85        19   24        0.79041          446.84738      651.20581         0.20988E+01    0.20988E+01    0
   81   86        19   24        0.79140          443.87748      661.24891         0.19855E+01    0.19855E+01    0
   82   87        19   24        0.79444          447.71440      678.83173         0.19087E+01    0.19087E+01    0
   83   88        19   24        0.77663          460.42551      697.15273         0.18721E+01    0.18721E+01    0
   84   89        19   24        0.73690          456.45615      691.91017         0.17715E+01    0.17715E+01    0
   85   90        19   24        0.69331          441.81467      674.62589         0.16380E+01    0.16380E+01    0
   86   91        19   24        0.64790          432.34227      659.90249         0.15321E+01    0.15321E+01    0
   87   92        19   24        0.61465          411.95453      639.74445         0.13964E+01    0.13964E+01    0
   89   94        19   24        0.53258          361.61689      580.87004         0.11237E+01    0.11237E+01    0
   26   31        20   25        4.37110          943.80265     1117.03262         0.33333E+02    0.25939E+02    1
   27   32        20   25        0.43488         1295.45207     1312.46377         0.33333E+02    0.33333E+02    0
   28   33        20   25       -0.78958         1496.46935     1452.45701         0.33333E+02    0.26450E+02    1
   29   34        20   25       -1.02429         1612.99731     1548.08669         0.33332E+02    0.24938E+02    1
   30   35        20   25       -1.04808         1685.13161     1615.75339         0.33330E+02    0.24929E+02    1
   31   36        20   25       -0.92013         1703.00180     1644.66048         0.33327E+02    0.26396E+02    1
   32   37        20   25       -0.94520         1760.43695     1700.96980         0.33323E+02    0.27506E+02    1
   33   38        20   25       -0.87458         1789.98786     1738.55522         0.33315E+02    0.29998E+02    1
   34   39        20   25       -0.83748         1840.46093     1793.72994         0.33306E+02    0.32563E+02    1
   35   40        20   25       -0.73462         1875.90680     1834.96560         0.33291E+02    0.33291E+02    0
   36   41        20   25       -0.76747         1877.67534     1834.85692         0.33270E+02    0.33270E+02    0
   37   42        20   25       -0.56365         1783.28773     1753.29441         0.33230E+02    0.33230E+02    0
   38   43        20   25       -0.65864         1712.70095     1679.03041         0.33172E+02    0.33172E+02    0
   39   44        20   25       -0.58673         1627.93108     1599.31412         0.33083E+02    0.33083E+02    0
   40   45        20   25       -0.62213         1572.83200     1543.42771         0.32965E+02    0.32965E+02    0
   41   46        20   25       -0.65033         1520.47502     1490.62834         0.32803E+02    0.32803E+02    0
   42   47        20   25       -0.55083         1449.52401     1425.21012         0.32563E+02    0.32563E+02    0
   43   48        20   25       -0.71263         1422.80090     1391.74646         0.32292E+02    0.32292E+02    0
   44   49        20   25       -0.66955         1379.95826     1351.31234         0.31918E+02    0.31918E+02    0
   45   50        20   25       -0.64242         1332.35493     1305.39486         0.31426E+02    0.31426E+02    0
   46   51        20   25       -0.44484         1286.89969     1268.45101         0.30807E+02    0.30807E+02    0
   47   52        20   25       -0.27587         1262.57801     1251.07171         0.30133E+02    0.30133E+02    0
   48   53        20   25       -0.22893         1234.32664     1224.72638         0.29319E+02    0.29319E+02    0
   49   54        20   25        0.12789         1167.09051     1172.41160         0.28114E+02    0.28114E+02    0
   50   55        20   25        0.17176         1141.95670     1149.23792         0.27024E+02    0.27024E+02    0
   51   56        20   25        0.28692         1109.92421     1122.35636         0.25759E+02    0.25759E+02    0
   52   57        20   25        0.50409         1061.19268     1083.51986         0.24210E+02    0.24210E+02    0
   53   58        20   25        0.61035         1020.88056     1048.77521         0.22641E+02    0.22641E+02    0
   54   59        20   25        0.72046          984.70896     1018.97819         0.21060E+02    0.21060E+02    0
   55   60        20   25        0.83387          936.89325      978.47744         0.19298E+02    0.19201E+02    1
   56   61        20   25        0.86754          902.04983      947.55291         0.17718E+02    0.17628E+02    1
   57   62        20   25        0.91942          871.37844      922.45875         0.16237E+02    0.16140E+02    1
   58   63        20   25        0.91850          843.48817      897.27864         0.14858E+02    0.14858E+02    0
   59   64        20   25        0.90415          825.35069      881.71733         0.13686E+02    0.13686E+02    0
   60   65        20   25        0.99502          809.83937      876.25759         0.12623E+02    0.12623E+02    0
   61   66        20   25        1.02527          805.17631      879.01115         0.11772E+02    0.11686E+02    1
   62   67        20   25        1.06651          782.74650      866.27820         0.10762E+02    0.10518E+02    1
   63   68        20   25        1.08849          776.52015      869.25772         0.10019E+02    0.96483E+01    1
   64   69        20   25        1.11414          769.95374      873.90949         0.93277E+01    0.87973E+01    1
   65   70        20   25        1.11642          766.18415      879.58612         0.87183E+01    0.80883E+01    1
   66   71        20   25        1.14245          745.01879      871.24947         0.79794E+01    0.72991E+01    1
   67   72        20   25        1.15043          745.88704      883.08263         0.75116E+01    0.68135E+01    1
   68   73        20   25        1.17296          740.39813      891.10496         0.70203E+01    0.63309E+01    1
   69   74        20   25        1.15262          718.17555      872.71200         0.64225E+01    0.59141E+01    1
   70   75        20   25        1.15149          675.09182      834.84375         0.57029E+01    0.54214E+01    1
   71   76        20   25        1.12813          646.00051      805.70696         0.51545E+01    0.51065E+01    1
   72   77        20   25        1.04452          619.18732      774.40612         0.46695E+01    0.46695E+01    0
   73   78        20   25        0.99256          567.79811      725.36827         0.40527E+01    0.40527E+01    0
   74   79        20   25        0.94026          556.63889      714.83101         0.37591E+01    0.37591E+01    0
   75   80        20   25        0.90144          542.66557      703.61130         0.34706E+01    0.34706E+01    0
   76   81        20   25        0.86548          529.70968      693.57266         0.32111E+01    0.32111E+01    0
   77   82        20   25        0.84069          508.76620      678.09786         0.29262E+01    0.29262E+01    0
   78   83        20   25        0.82754          490.27857      667.84245         0.26775E+01    0.26775E+01    0
   79   84        20   25        0.81773          478.02123      664.68565         0.24805E+01    0.24805E+01    0
   80   85        20   25        0.80950          472.32645      668.47348         0.23307E+01    0.23307E+01    0
   81   86        20   25        0.80319          471.59695      677.77743         0.22145E+01    0.22145E+01    0
   82   87        20   25        0.81738          471.60462      694.84672         0.21091E+01    0.21091E+01    0
   83   88        20   25        0.79491          485.29357      712.71232         0.20683E+01    0.20683E+01    0
   84   89        20   25        0.75169          481.06335      706.52609         0.19557E+01    0.19557E+01    0
   85   90        20   25        0.70524          465.84184      688.10503         0.18079E+01    0.18079E+01    0
   86   91        20   25        0.65696          455.66352      672.27921         0.16892E+01    0.16892E+01    0
   27   32        21   26        4.52192          892.23899     1056.24357         0.33333E+02    0.26798E+02    1
   28   33        21   26        0.58563         1216.60594     1238.16929         0.33333E+02    0.33333E+02    0
   29   34        21   26       -0.63698         1406.43520     1372.62894         0.33333E+02    0.26180E+02    1
   30   35        21   26       -0.92849         1529.58419     1472.55454         0.33332E+02    0.24436E+02    1
   31   36        21   26       -0.86205         1579.71740     1526.52336         0.33330E+02    0.25167E+02    1
   32   37        21   26       -0.94905         1660.86123     1600.22706         0.33327E+02    0.25518E+02    1
   33   38        21   26       -0.88705         1708.51469     1653.73074         0.33322E+02    0.27218E+02    1
   34   39        21   26       -0.85374         1774.59190     1722.88508         0.33315E+02    0.28872E+02    1
   35   40        21   26       -0.75882         1822.48254     1778.33315         0.33305E+02    0.30943E+02    1
   36   41        21   26       -0.78719         1836.57430     1792.29865         0.33290E+02    0.32258E+02    1
   37   42        21   26       -0.58449         1753.94181     1723.38887         0.33261E+02    0.33261E+02    0
   38   43        21   26       -0.67965         1694.03790     1659.73000         0.33218E+02    0.33218E+02    0
   39   44        21   26       -0.59692         1617.09310     1588.23759         0.33153E+02    0.33153E+02    0
   40   45        21   26       -0.69950         1572.03715     1539.12973         0.33065E+02    0.33065E+02    0
   41   46        21   26       -0.76072         1526.91229     1492.05724         0.32943E+02    0.32943E+02    0
   42   47        21   26       -0.63361         1459.19626     1431.24440         0.32759E+02    0.32759E+02    0
   43   48        21   26       -0.81818         1437.58098     1401.89647         0.32550E+02    0.32550E+02    0
   44   49        21   26       -0.75654         1397.06649     1364.68027         0.32255E+02    0.32255E+02    0
   45   50        21   26       -0.74138         1352.55618     1321.44978         0.31864E+02    0.31864E+02    0
   46   51        21   26       -0.58030         1310.88260     1286.85474         0.31368E+02    0.31368E+02    0
   47   52        21   26       -0.41637         1289.04517     1271.74452         0.30814E+02    0.30814E+02    0
   48   53        21   26       -0.35369         1261.94284     1247.21601         0.30130E+02    0.30130E+02    0
   49   54        21   26       -0.05009         1197.84053     1195.78164         0.29116E+02    0.29116E+02    0
   50   55        21   26       -0.01604         1174.47452     1173.80581         0.28165E+02    0.28165E+02    0
   51   56        21   26        0.09112         1143.99875     1147.86030         0.27040E+02    0.27040E+02    0
   52   57        21   26        0.33030         1095.15754     1109.36822         0.25620E+02    0.25620E+02    0
   53   58        21   26        0.44735         1055.10474     1074.83628         0.24144E+02    0.24144E+02    0
   54   59        21   26        0.58184         1018.69424     1045.24313         0.22615E+02    0.22615E+02    0
   55   60        21   26        0.71430          970.62371     1004.40673         0.20878E+02    0.20878E+02    0
   56   61        21   26        0.74148          936.57296      973.26664         0.19294E+02    0.19294E+02    0
   57   62        21   26        0.83269          904.52519      947.96279         0.17753E+02    0.17753E+02    0
   58   63        21   26        0.83090          876.66174      922.47305         0.16312E+02    0.16312E+02    0
   59   64        21   26        0.85903          856.48659      906.82926         0.15040E+02    0.15040E+02    0
   60   65        21   26        0.93557          842.92045      901.49025         0.13927E+02    0.13927E+02    0
   62   67        21   26        1.00680          819.73838      891.74662         0.11958E+02    0.11958E+02    0
   63   68        21   26        1.08188          809.90780      895.00928         0.11095E+02    0.10828E+02    1
   64   69        21   26        1.08808          806.19743      899.96488         0.10366E+02    0.98892E+01    1
   65   70        21   26        1.11961          799.29279      905.80885         0.96538E+01    0.89496E+01    1
   67   72        21   26        1.18292          774.83572      909.14826         0.82794E+01    0.73999E+01    1
   68   73        21   26        1.18230          772.92584      917.01537         0.77694E+01    0.69164E+01    1
   69   74        21   26        1.16375          749.31325      897.71311         0.71010E+01    0.64404E+01    1
   70   75        21   26        1.16554          704.03119      858.18240         0.63005E+01    0.58868E+01    1
   71   76        21   26        1.13910          673.83771      827.59097         0.56926E+01    0.55422E+01    1
   72   77        21   26        1.06831          645.88703      794.66188         0.51537E+01    0.51537E+01    0
   73   78        21   26        1.01853          591.85884      743.42588         0.44672E+01    0.44672E+01    0
   74   79        21   26        0.95988          580.38261      731.77874         0.41411E+01    0.41411E+01    0
   75   80        21   26        0.91957          565.44319      719.44254         0.38178E+01    0.38178E+01    0
   76   81        21   26        0.88343          551.33473      708.34219         0.35255E+01    0.35255E+01    0
   77   82        21   26        0.85868          529.23624      691.65029         0.32083E+01    0.32083E+01    0
   78   83        21   26        0.84523          509.95347      680.28079         0.29329E+01    0.29329E+01    0
   79   84        21   26        0.83551          496.89447      676.07397         0.27133E+01    0.27133E+01    0
   80   85        21   26        0.82781          490.41297      678.97617         0.25445E+01    0.25445E+01    0
   81   86        21   26        0.82208          488.99623      687.53711         0.24125E+01    0.24125E+01    0
   82   87        21   26        0.82815          491.83674      704.00934         0.23091E+01    0.23091E+01    0
   83   88        21   26        0.81235          502.43199      721.32699         0.22463E+01    0.22463E+01    0
   84   89        21   26        0.77021          496.31199      714.33611         0.21151E+01    0.21151E+01    0
   85   90        21   26        0.72222          480.04533      695.02910         0.19516E+01    0.19516E+01    0
   86   91        21   26        0.66535          471.55683      678.32347         0.18300E+01    0.18300E+01    0
   89   94        21   26        0.55715          387.82300      592.47388         0.13148E+01    0.13148E+01    0
   91   96        21   26        0.49126          338.70189      540.14772         0.10526E+01    0.10526E+01    0
   28   33        22   27        4.51938          833.28675      974.05832         0.33333E+02    0.28953E+02    1
   29   34        22   27        0.71594         1138.17818     1162.88897         0.33333E+02    0.33333E+02    0
   30   35        22   27       -0.52343         1328.89502     1302.53849         0.33332E+02    0.26129E+02    1
   31   36        22   27       -0.66996         1422.80823     1385.74853         0.33331E+02    0.25385E+02    1
   32   37        22   27       -0.84816         1530.60139     1479.45297         0.33329E+02    0.24954E+02    1
   33   38        22   27       -0.85217         1602.71362     1550.84035         0.33326E+02    0.25901E+02    1
   34   39        22   27       -0.83183         1686.47555     1635.34042         0.33322E+02    0.27016E+02    1
   35   40        22   27       -0.74793         1751.79789     1706.35481         0.33315E+02    0.28457E+02    1
   36   41        22   27       -0.74976         1780.73638     1735.99522         0.33304E+02    0.29465E+02    1
   37   42        22   27       -0.57431         1712.58267     1681.67915         0.33283E+02    0.31538E+02    1
   38   43        22   27       -0.67358         1665.66998     1630.36933         0.33253E+02    0.31445E+02    1
   39   44        22   27       -0.59239         1597.51656     1568.66495         0.33204E+02    0.32503E+02    1
   40   45        22   27       -0.67408         1559.95631     1527.64022         0.33139E+02    0.32201E+02    1
   41   46        22   27       -0.78161         1524.40312     1487.47077         0.33049E+02    0.31869E+02    1
   42   47        22   27       -0.70059         1463.17266     1432.35306         0.32909E+02    0.32909E+02    0
   43   48        22   27       -0.91456         1448.30694     1408.00961         0.32750E+02    0.32410E+02    1
   44   49        22   27       -0.86754         1411.99220     1374.82519         0.32523E+02    0.32523E+02    0
   45   50        22   27       -0.87295         1371.69678     1335.02862         0.32217E+02    0.32217E+02    0
   46   51        22   27       -0.72957         1333.66524     1303.43937         0.31825E+02    0.31825E+02    0
   47   52        22   27       -0.58734         1315.56971     1291.17569         0.31381E+02    0.31381E+02    0
   48   53        22   27       -0.56875         1292.63827     1269.00788         0.30827E+02    0.30827E+02    0
   49   54        22   27       -0.22937         1228.31438     1218.95202         0.29978E+02    0.29978E+02    0
   50   55        22   27       -0.20858         1207.22051     1198.61904         0.29170E+02    0.29170E+02    0
   51   56        22   27       -0.09674         1178.05627     1174.02026         0.28190E+02    0.28190E+02    0
   52   57        22   27        0.14260         1130.23318     1136.23448         0.26927E+02    0.26927E+02    0
   53   58        22   27        0.25840         1091.16201     1102.23998         0.25581E+02    0.25581E+02    0
   54   59        22   27        0.42024         1054.62672     1073.14750         0.24139E+02    0.24139E+02    0
   55   60        22   27        0.56735         1006.47886     1032.21822         0.22467E+02    0.22467E+02    0
   56   61        22   27        0.61351          972.12568     1001.08873         0.20897E+02    0.20897E+02    0
   57   62        22   27        0.70255          941.00059      975.78555         0.19354E+02    0.19354E+02    0
   58   63        22   27        0.72271          912.49781      950.17021         0.17864E+02    0.17864E+02    0
   59   64        22   27        0.76438          892.40628      934.63240         0.16534E+02    0.16534E+02    0
   60   65        22   27        0.85915          879.02533      929.61835         0.15353E+02    0.15353E+02    0
   61   66        22   27        0.91507          875.70510      933.28448         0.14370E+02    0.14370E+02    0
   62   67        22   27        0.95852          856.17897      920.48958         0.13234E+02    0.13234E+02    0
   63   68        22   27        0.99270          853.01198      924.24506         0.12377E+02    0.12377E+02    0
   64   69        22   27        1.07869          843.46806      929.71973         0.11501E+02    0.11079E+02    1
   65   70        22   27        1.11528          836.74972      935.95523         0.10718E+02    0.99541E+01    1
   66   71        22   27        1.15817          813.43071      927.09642         0.98099E+01    0.88547E+01    1
   67   72        22   27        1.18984          811.76305      939.55980         0.91985E+01    0.81383E+01    1
   68   73        22   27        1.23929          802.17607      947.52601         0.85526E+01    0.74420E+01    1
   69   74        22   27        1.17494          784.76136      927.42643         0.78818E+01    0.70342E+01    1
   70   75        22   27        1.17917          737.43065      886.23330         0.69934E+01    0.64152E+01    1
   71   76        22   27        1.15671          704.88862      854.21947         0.63079E+01    0.60199E+01    1
   72   77        22   27        1.09986          676.08403      819.67000         0.57110E+01    0.57110E+01    0
   73   78        22   27        1.05267          619.24339      766.11861         0.49458E+01    0.49458E+01    0
   74   79        22   27        0.98773          607.35656      753.46667         0.45820E+01    0.45820E+01    0
   75   80        22   27        0.94466          591.67805      740.10517         0.42205E+01    0.42205E+01    0
   76   81        22   27        0.90566          576.97622      728.03241         0.38946E+01    0.38946E+01    0
   77   82        22   27        0.88274          553.36731      710.16789         0.35383E+01    0.35383E+01    0
   78   83        22   27        0.87074          532.88649      697.75870         0.32302E+01    0.32302E+01    0
   79   84        22   27        0.86143          518.97016      692.62750         0.29844E+01    0.29844E+01    0
   80   85        22   27        0.85407          511.83863      694.81636         0.27944E+01    0.27944E+01    0
   81   86        22   27        0.84474          511.05302      702.84497         0.26509E+01    0.26509E+01    0
   82   87        22   27        0.85346          513.21042      718.99161         0.25313E+01    0.25313E+01    0
   83   88        22   27        0.82848          526.29912      736.03790         0.24700E+01    0.24700E+01    0
   84   89        22   27        0.79248          516.83767      728.30939         0.23104E+01    0.23104E+01    0
   85   90        22   27        0.74174          499.86150      708.06807         0.21302E+01    0.21302E+01    0
   86   91        22   27        0.68655          488.70914      690.45308         0.19867E+01    0.19867E+01    0
   87   92        22   27        0.64594          467.06410      667.02480         0.18126E+01    0.18126E+01    0
   88   93        22   27        0.60105          436.01586      632.38143         0.16165E+01    0.16165E+01    0
   29   34        23   28        4.54150          788.25358      921.29683         0.33333E+02    0.29119E+02    1
   30   35        23   28        0.75923         1087.78747     1112.84865         0.33333E+02    0.33333E+02    0
   31   36        23   28       -0.22852         1237.20866     1226.99519         0.33332E+02    0.27567E+02    1
   32   37        23   28       -0.69811         1379.22192     1341.48386         0.33331E+02    0.25163E+02    1
   33   38        23   28       -0.78575         1476.44202     1431.39056         0.33329E+02    0.25356E+02    1
   34   39        23   28       -0.82834         1581.59174     1531.62001         0.33326E+02    0.25800E+02    1
   35   40        23   28       -0.75645         1665.05205     1618.69697         0.33321E+02    0.26791E+02    1
   36   41        23   28       -0.77203         1712.46724     1664.84528         0.33314E+02    0.27374E+02    1
   37   42        23   28       -0.56113         1658.02389     1626.41350         0.33299E+02    0.29151E+02    1
   38   43        23   28       -0.62362         1623.07660     1588.71137         0.33277E+02    0.29141E+02    1
   39   44        23   28       -0.54720         1566.44527     1537.98644         0.33242E+02    0.29845E+02    1
   40   45        23   28       -0.63989         1539.18419     1506.05506         0.33194E+02    0.29408E+02    1
   41   46        23   28       -0.69940         1509.29685     1473.75138         0.33126E+02    0.29346E+02    1
   42   47        23   28       -0.65937         1456.77733     1425.29294         0.33022E+02    0.30178E+02    1
   43   48        23   28       -0.84820         1447.81929     1406.70458         0.32901E+02    0.29442E+02    1
   44   49        23   28       -0.85406         1417.98123     1378.27269         0.32726E+02    0.30069E+02    1
   45   50        23   28       -0.91279         1382.79770     1342.61265         0.32489E+02    0.30951E+02    1
   46   51        23   28       -0.83412         1349.16564     1314.64584         0.32182E+02    0.32182E+02    0
   47   52        23   28       -0.71068         1335.21286     1305.72995         0.31828E+02    0.31828E+02    0
   48   53        23   28       -0.69982         1315.44258     1286.43158         0.31381E+02    0.31381E+02    0
   49   54        23   28       -0.38176         1253.80639     1238.30546         0.30688E+02    0.30688E+02    0
   50   55        23   28       -0.37309         1235.30058     1220.03855         0.30011E+02    0.30011E+02    0
   51   56        23   28       -0.26647         1208.18361     1197.19878         0.29175E+02    0.29175E+02    0
   52   57        23   28       -0.02574         1161.59172     1160.52745         0.28076E+02    0.28076E+02    0
   53   58        23   28        0.10014         1123.24223     1127.43640         0.26869E+02    0.26869E+02    0
   54   59        23   28        0.25965         1088.06278     1099.17578         0.25551E+02    0.25551E+02    0
   55   60        23   28        0.42279         1039.97115     1058.47113         0.23978E+02    0.23978E+02    0
   56   61        23   28        0.48198         1005.80897     1027.62702         0.22459E+02    0.22459E+02    0
   57   62        23   28        0.58191          975.08438     1002.56686         0.20936E+02    0.20936E+02    0
   58   63        23   28        0.61462          946.62575      977.04725         0.19431E+02    0.19431E+02    0
   59   64        23   28        0.67226          926.66908      961.81139         0.18061E+02    0.18061E+02    0
   60   65        23   28        0.77786          914.06868      957.29802         0.16834E+02    0.16834E+02    0
