    0.22678E+02   -0.21679E+02    0.91980E+00   -0.36306E-01   -0.17486E+01
    0.70365E+02   -0.28393E+01    0.29315E+02    0.14671E+01    0.15313E+01
    0.11953E+03   -0.16194E+02    0.24134E+01    0.38262E+00   -0.10365E+01
    0.11499E+03   -0.19435E+01    0.16468E+02    0.12166E+01    0.18367E+01
    0.39649E+01   -0.11690E+02    0.72853E+00   -0.13755E+00   -0.19458E+01
    0.11847E+03   -0.17742E+02    0.57290E+01    0.75808E+00   -0.93999E+00
    0.10465E+03   -0.12668E+01    0.23522E+02    0.13715E+01    0.22758E+01
    0.75760E+02   -0.91237E+01    0.72819E+01    0.86224E+00    0.12459E+00
    0.10871E+02   -0.22958E+01    0.17337E+02    0.12390E+01    0.15677E+01
    0.28478E+02   -0.56733E+01    0.10689E+02    0.10289E+01    0.88297E+00
    0.56824E+02   -0.16096E+02    0.81532E+01    0.91133E+00   -0.51170E+00
    0.11758E+03   -0.11835E+01    0.24703E+02    0.13928E+01    0.22305E+01
    0.11912E+02   -0.51616E+01    0.10332E+02    0.10142E+01    0.54599E+00
    0.16891E+02   -0.21013E+02    0.46090E+00   -0.33639E+00   -0.20019E+01
    0.10929E+03   -0.58232E+01    0.64880E+01    0.81211E+00    0.73360E+00
    0.36673E+02   -0.26747E+01    0.23149E+02    0.13645E+01    0.15706E+01
    0.50876E+02   -0.13200E+01    0.26759E+02    0.14275E+01    0.22620E+01
    0.58077E+02   -0.15047E+02    0.39312E+01    0.59452E+00   -0.52062E+00
    0.41805E+02   -0.69516E+01    0.10382E+02    0.10163E+01    0.55800E+00
    0.10418E+02   -0.29243E+01    0.12667E+02    0.11027E+01    0.12429E+01
    0.68873E+02   -0.20864E+01    0.22556E+02    0.13533E+01    0.17949E+01
    0.11253E+02   -0.10766E+01    0.26760E+02    0.14275E+01    0.23033E+01
    0.90752E+02   -0.10884E+01    0.44628E+02    0.16496E+01    0.24967E+01
    0.73517E+02   -0.10620E+01    0.41119E+02    0.16140E+01    0.24278E+01
    0.90643E+01   -0.14737E+02    0.51359E+00   -0.28938E+00   -0.16786E+01
    0.95824E+02   -0.89225E+00    0.36824E+02    0.15661E+01    0.25325E+01
    0.98801E+02   -0.10575E+01    0.37468E+02    0.15737E+01    0.23355E+01
    0.49245E+02   -0.59062E+01    0.48938E+01    0.68965E+00    0.70524E+00
    0.28483E+02   -0.12960E+02    0.95144E+01    0.97838E+00   -0.17386E+00
    0.36807E+02   -0.20750E+01    0.12958E+02    0.11125E+01    0.18242E+01
    0.78275E+02   -0.25607E+01    0.20076E+02    0.13027E+01    0.16492E+01
