3152
1	7	12	1	6	-43.39529840313331
2	8	13	1	6	-23.641305441553037
3	9	14	1	6	-15.936297250808114
4	10	15	1	6	-11.455596002915264
5	11	16	1	6	-8.459583576278028
6	12	17	1	6	-6.212199894721797
7	13	18	1	6	-4.621960177663647
8	14	19	1	6	-3.5517140306518473
9	15	20	1	6	-2.770927967596486
10	16	21	1	6	-2.25687020250246
11	17	22	1	6	-1.800983950907519
12	18	23	1	6	-1.4647799143560376
13	19	24	1	6	-1.1962835058076804
14	20	25	1	6	-0.9550948855517771
15	21	26	1	6	-0.7683503044131504
16	22	27	1	6	-0.6443099982612646
17	23	28	1	6	-0.5539202911666024
18	24	29	1	6	-0.47684744374884186
19	25	30	1	6	-0.4021563657550119
20	26	31	1	6	-0.34071757137782344
21	27	32	1	6	-0.28599778527192576
22	28	33	1	6	-0.2406061274901238
23	29	34	1	6	-0.20285978313711295
24	30	35	1	6	-0.1718300060499327
25	31	36	1	6	-0.14546640212551443
26	32	37	1	6	-0.12901526406084066
27	33	38	1	6	-0.11261905534883787
28	34	39	1	6	-0.10013448655212315
29	35	40	1	6	-0.08917028664950236
30	36	41	1	6	-0.07888952383783056
31	37	42	1	6	-0.06692312265229688
32	38	43	1	6	-0.05714033314657223
33	39	44	1	6	-0.04874429924331756
34	40	45	1	6	-0.04233502327839134
35	41	46	1	6	-0.03682905700995824
36	42	47	1	6	-0.03192346766594596
37	43	48	1	6	-0.028375107001907856
38	47	52	1	6	-0.01824200480169795
39	8	13	2	7	-44.54132011089003
40	9	14	2	7	-26.241285702121125
41	10	15	2	7	-17.622964596508353
42	11	16	2	7	-12.476584607846302
43	12	17	2	7	-8.85361300085411
44	13	18	2	7	-6.4134499525057205
45	14	19	2	7	-4.815324127710802
46	15	20	2	7	-3.6808457835691977
47	16	21	2	7	-2.9437444212271213
48	17	22	2	7	-2.312469958147184
49	18	23	2	7	-1.8577977922673266
50	19	24	2	7	-1.501927636006366
51	20	25	2	7	-1.185388538127854
52	21	26	2	7	-0.9444047332722902
53	22	27	2	7	-0.7853979481751616
54	23	28	2	7	-0.6714026577228867
55	24	29	2	7	-0.5752049011783247
56	25	30	2	7	-0.48287420465248476
57	26	31	2	7	-0.40750758368427326
58	27	32	2	7	-0.34100139939397456
59	28	33	2	7	-0.28576869894507917
60	29	34	2	7	-0.24019560325520822
61	30	35	2	7	-0.20265901007428236
62	31	36	2	7	-0.17142385891963616
63	32	37	2	7	-0.15108911787557683
64	33	38	2	7	-0.13196251269024512
65	34	39	2	7	-0.11689122002921823
66	35	40	2	7	-0.10377961363588029
67	36	41	2	7	-0.09156388997191253
68	37	42	2	7	-0.07743406764587982
69	38	43	2	7	-0.06591337261300567
70	39	44	2	7	-0.05633556805946416
71	40	45	2	7	-0.04876559347285303
72	41	46	2	7	-0.04235007330093761
73	42	47	2	7	-0.036652583018348714
74	43	48	2	7	-0.0324392267344462
75	47	52	2	7	-0.02067816283655121
76	50	55	2	7	-0.015013430026976013
77	54	59	2	7	-0.010084584877835331
78	9	14	3	8	-49.571217574379176
79	10	15	3	8	-29.168097730909672
80	11	16	3	8	-19.373895451756002
81	12	17	3	8	-13.153573874010604
82	13	18	3	8	-9.21152107944648
83	14	19	3	8	-6.733377433082509
84	15	20	3	8	-5.013944378769022
85	16	21	3	8	-3.9308756057183194
86	17	22	3	8	-3.027295985557352
87	18	23	3	8	-2.3948838580528284
88	19	24	3	8	-1.9127001336323137
89	20	25	3	8	-1.4955803337744773
90	21	26	3	8	-1.1741226987492606
91	22	27	3	8	-0.9683753062660532
92	23	28	3	8	-0.8222963580475745
93	24	29	3	8	-0.6987145349786372
94	25	30	3	8	-0.5835334270873758
95	26	31	3	8	-0.4905618733940298
96	27	32	3	8	-0.40949804331675455
97	28	33	3	8	-0.34176980205546614
98	29	34	3	8	-0.28594172575732785
99	30	35	3	8	-0.24063909585513998
100	31	36	3	8	-0.20265412909253872
101	32	37	3	8	-0.17805752941511532
102	33	38	3	8	-0.15482976008252802
103	34	39	3	8	-0.13722517764944386
104	35	40	3	8	-0.12131895567996867
105	36	41	3	8	-0.10673618150884262
106	37	42	3	8	-0.08995215182519341
107	38	43	3	8	-0.07650541204101394
108	39	44	3	8	-0.06511998864709188
109	40	45	3	8	-0.056485230884708026
110	41	46	3	8	-0.04889625896807593
111	42	47	3	8	-0.0422304528227227
112	43	48	3	8	-0.03739576800408446
113	44	49	3	8	-0.0334854317479774
114	46	51	3	8	-0.026244791620090066
115	47	52	3	8	-0.023593015854992842
116	50	55	3	8	-0.017118487493433886
117	52	57	3	8	-0.013889345060978855
118	79	84	3	8	-0.0021437950252100116
119	10	15	4	9	-55.02113821561521
120	11	16	4	9	-31.94602074317848
121	12	17	4	9	-20.2767516618855
122	13	18	4	9	-13.57179309270009
123	14	19	4	9	-9.582093385019032
124	15	20	4	9	-6.916941747706982
125	16	21	4	9	-5.2869117870896805
126	17	22	4	9	-3.984072619812893
127	18	23	4	9	-3.0915788693317023
128	19	24	4	9	-2.4294920937874
129	20	25	4	9	-1.875083389667577
130	21	26	4	9	-1.4533427548090727
131	22	27	4	9	-1.1830052212638327
132	23	28	4	9	-0.9961585832628357
133	24	29	4	9	-0.8413766069494295
134	25	30	4	9	-0.6972714460255578
135	26	31	4	9	-0.5835338385810361
136	27	32	4	9	-0.4855194899481129
137	28	33	4	9	-0.40367931745297403
138	29	34	4	9	-0.3361880479068642
139	30	35	4	9	-0.28180059270496305
140	31	36	4	9	-0.23680490199067503
141	32	37	4	9	-0.2069578218755951
142	33	38	4	9	-0.17944672424336322
143	34	39	4	9	-0.15846681064115226
144	35	40	4	9	-0.13997203117146026
145	36	41	4	9	-0.12265720544821686
146	37	42	4	9	-0.10311043206718579
147	38	43	4	9	-0.08756308215621927
148	39	44	4	9	-0.07435657589332045
149	40	45	4	9	-0.06439465341325648
150	41	46	4	9	-0.05573681083403895
151	42	47	4	9	-0.047946937789431474
152	43	48	4	9	-0.04244256773228534
153	44	49	4	9	-0.03779082144088598
154	45	50	4	9	-0.033523051229115225
155	46	51	4	9	-0.02960381176204525
156	47	52	4	9	-0.02653835062764334
157	49	54	4	9	-0.020995674833567624
158	50	55	4	9	-0.019223826893538697
159	52	57	4	9	-0.015463217233145707
160	54	59	4	9	-0.01263730162476237
161	11	16	5	10	-63.66129790685312
162	12	17	5	10	-35.185794735024594
163	13	18	5	10	-22.02714781512085
164	14	19	5	10	-14.860455427965714
165	15	20	5	10	-10.31882636401389
166	16	21	5	10	-7.650604300891654
167	17	22	5	10	-5.6057300374526084
168	18	23	5	10	-4.253276918176178
169	19	24	5	10	-3.2764813995909323
170	20	25	5	10	-2.4874349432250464
171	21	26	5	10	-1.8960708230364962
172	22	27	5	10	-1.5214060443746384
173	23	28	5	10	-1.2674682134428887
174	24	29	5	10	-1.0637964081170292
175	25	30	5	10	-0.8716579163060383
176	26	31	5	10	-0.7253970739021495
177	27	32	5	10	-0.6009001499756967
178	28	33	5	10	-0.4974223707108936
179	29	34	5	10	-0.41254820233920286
180	30	35	5	10	-0.3445669965389465
181	31	36	5	10	-0.28796061547620755
182	32	37	5	10	-0.25054675947938954
183	33	38	5	10	-0.21637896303914347
184	34	39	5	10	-0.1904074652693758
185	35	40	5	10	-0.1673776983433201
186	36	41	5	10	-0.1465084734043221
187	37	42	5	10	-0.12286573420181932
188	38	43	5	10	-0.10412846020919109
189	39	44	5	10	-0.08826235299132082
190	40	45	5	10	-0.07615343218652845
191	41	46	5	10	-0.06616309150783312
192	42	47	5	10	-0.05666688435015393
193	43	48	5	10	-0.05009180757796258
194	44	49	5	10	-0.044423229582898995
195	45	50	5	10	-0.03920997759844469
196	47	52	5	10	-0.03110768888938107
197	49	54	5	10	-0.024497440207787553
198	50	55	5	10	-0.022228238219116347
199	52	57	5	10	-0.018005818799478775
200	54	59	5	10	-0.014640977514487117
201	82	87	5	10	-0.002279701517631025
202	12	17	6	11	-69.72438484817964
203	13	18	6	11	-37.93968416246051
204	14	19	6	11	-23.96586807285412
205	15	20	6	11	-15.848264613761948
206	16	21	6	11	-11.34340925810588
207	17	22	6	11	-8.049890254536674
208	18	23	6	11	-5.946442370979271
209	19	24	6	11	-4.48112221206455
210	20	25	6	11	-3.3237499995731694
211	21	26	6	11	-2.4840916536585356
212	22	27	6	11	-1.9583004339204853
213	23	28	6	11	-1.611943775230141
214	24	29	6	11	-1.3352016675836438
215	25	30	6	11	-1.087788686544874
216	26	31	6	11	-0.8981889285927619
217	27	32	6	11	-0.739667189462672
218	28	33	6	11	-0.6079027083724572
219	29	34	6	11	-0.5010315441729901
220	30	35	6	11	-0.41697722487789124
221	31	36	6	11	-0.3476613768861401
222	32	37	6	11	-0.3003923519323759
223	33	38	6	11	-0.25850244158885255
224	34	39	6	11	-0.2265996501784599
225	35	40	6	11	-0.19830429373974967
226	36	41	6	11	-0.17194889465782068
227	37	42	6	11	-0.14334128380634698
228	38	43	6	11	-0.12149492370515488
229	39	44	6	11	-0.10273732239894186
230	40	45	6	11	-0.08858404125496194
231	41	46	6	11	-0.07642351936150801
232	42	47	6	11	-0.0656263458894906
233	43	48	6	11	-0.05810078773303588
234	44	49	6	11	-0.050862391971158494
235	45	50	6	11	-0.04459873093303014
236	46	51	6	11	-0.039341626907024044
237	47	52	6	11	-0.035358527911301986
238	49	54	6	11	-0.02774887868615208
239	50	55	6	11	-0.025134092480924367
240	54	59	6	11	-0.016387927534863234
241	79	84	6	11	-0.002723255728076741
242	13	18	7	12	-76.37748974688517
243	14	19	7	12	-42.60742490584015
244	15	20	7	12	-26.370195087212878
245	16	21	7	12	-18.103493528561096
246	17	22	7	12	-12.395213890493462
247	18	23	7	12	-8.890821955557726
248	19	24	7	12	-6.536245280857102
249	20	25	7	12	-4.7232524240195435
250	21	26	7	12	-3.448433151610006
251	22	27	7	12	-2.6657186968981685
252	23	28	7	12	-2.161990204575199
253	24	29	7	12	-1.7683092139504106
254	25	30	7	12	-1.4274167624775975
255	26	31	7	12	-1.1694474374555506
256	27	32	7	12	-0.9567957006556419
257	28	33	7	12	-0.7813727739703955
258	29	34	7	12	-0.6397170406874038
259	30	35	7	12	-0.5293075703194363
260	31	36	7	12	-0.4390141153765509
261	32	37	7	12	-0.37798770060171816
262	33	38	7	12	-0.32337581212976463
263	34	39	7	12	-0.28258426975873663
264	35	40	7	12	-0.24639659620869123
265	36	41	7	12	-0.2130908642165994
266	37	42	7	12	-0.17699772472356134
267	38	43	7	12	-0.14957161884543693
268	39	44	7	12	-0.1260448494664378
269	40	45	7	12	-0.10848532278919439
270	41	46	7	12	-0.0934632292945604
271	42	47	7	12	-0.07995129741582951
272	43	48	7	12	-0.07085565197416573
273	44	49	7	12	-0.061737054127060056
