,X,Y,Vel,Cov, 
170,13.8248,799.562,2872.46,1,
171,15.9364,799.316,3291.72,1,
172,9.72465,799.52,1062.32,0,
173,11.924,799.492,2075.87,1,
174,19.8333,799.465,2501.76,1,
175,21.9354,799.296,1765.7,1,
176,15.8287,799.534,3254.11,1,
177,17.5905,799.254,3296.04,1,
178,8.08852,799.378,754.174,1,
179,19.7991,799.325,2503.97,1,
180,3.67234,799.766,611.882,1,
181,29.8392,799.823,1044.44,1,
182,38.9946,799.042,2204.43,1,
183,39.4153,798.871,2270.53,1,
184,24.337,799.501,1188.2,1,
185,26.3327,799.803,1025.42,1,
186,31.2334,799.674,1108.99,1,
187,31.8186,799.612,1108.56,1,
188,33.4453,799.213,1252.39,1,
189,41.7665,798.965,2290.46,1,
190,10.3239,799.698,1233.4,1,
191,0.529888,799.76,707.814,1,
192,2.32983,799.836,667.178,1,
193,34.1271,799.086,1338.42,1,
194,37.325,798.446,2056.52,1,
195,21.3918,799.373,1960.17,1,
196,15.2396,799.55,3180.92,1,
197,9.21612,799.691,941.675,1,
198,23.9603,799.274,1246.51,1,
199,43.7533,799.334,1259.56,1,
200,21.2096,799.465,2007.77,1,
201,17.2493,799.503,3282.24,1,
202,18.0603,799.382,3178.96,1,
203,5.60045,799.395,563.964,0,
204,35.3424,798.505,1661.05,1,
205,45.2363,799.414,812.262,1,
206,25.7298,799.548,1083.36,1,
207,27.989,799.79,960.79,1,
208,27.83,799.711,975.076,1,
209,28.2077,799.71,965.101,1,
210,11.3994,799.336,1721.14,1,
211,30.7502,799.754,1103.57,1,
212,32.7321,799.434,1165.51,1,
213,13.2434,799.562,2701.43,1,
214,3.96177,799.434,649.025,1,
215,10.0559,798.656,1247.39,1,
216,-0.0526554,799.668,780.725,1,
217,8.75479,799.296,885.209,1,
218,3.01163,799.646,639.371,1,
219,5.80468,798.566,679.973,1,
220,35.7886,799.045,1692.69,1,
221,37.003,798.98,1930.35,1,
222,18.3241,799.489,3027.64,1,
223,42.7911,799.218,1679.2,1,
224,14.4256,799.581,3045.99,1,
225,9.78425,799.731,1060.98,1,
226,21.7824,799.508,1829.32,1,
227,20.4099,799.482,2247.54,1,
228,16.4319,799.58,3288.89,1,
229,18.4342,799.539,2966.73,1,
230,39.7844,799.177,2263.81,1,
231,4.40883,799.776,607.338,1,
232,38.3215,799.124,2147.54,1,
233,14.1078,799.486,2971.67,1,
234,43.8998,799.41,1198.19,1,
235,25.7958,799.759,1071.49,1,
236,27.7908,799.929,956.568,1,
237,30.1325,799.748,1080.74,1,
238,32.1032,799.507,1117.66,1,
239,11.7823,799.692,1905.03,1,
240,7.92081,799.619,706.894,1,
241,1.78315,799.881,664.276,1,
242,3.78337,799.844,604.276,1,
243,35.7957,799.253,1669.03,1,
244,40.1174,799.106,2296.99,1,
245,14.1159,799.6,2968.89,1,
246,9.672,799.652,1044.69,1,
247,9.86452,799.681,1083.79,1,
248,21.6646,799.422,1864.16,1,
249,21.8614,799.456,1803.21,1,
250,20.1027,799.399,2374.92,1,
251,20.113,799.498,2366.27,1,
252,16.1415,799.443,3290.14,1,
253,16.1298,799.569,3281.48,1,
254,17.8401,799.49,3262.84,1,
255,19.9287,799.292,2452.93,1,
256,4.20104,799.836,610.935,1,
257,2.55824,799.66,671.427,1,
258,37.8395,799.113,2086.5,1,
259,41.3268,798.342,2438.75,1,
260,43.6508,799.29,1325.1,1,
