x,y,VCP0.32f30000h1,VCP0.71f30000h1,VCP1.18f30000h1,elevation,HCP0.32f30000h0,HCP0.71f30000h0,HCP1.18f30000h0
659475.6799999999,5085375.08,3.25,0.7,6.565,0,-0.2799999999999998,2.685,6.465
659475.62,5085374.895,-1.59,0.8200000000000001,6.165,0,-0.2799999999999998,2.685,6.465
659475.53,5085374.66,-1.68,0.44,6.265000000000001,0,-0.2799999999999998,2.685,6.465
659475.4099999999,5085374.38,2.18,0.995,6.390000000000001,0,-0.8649999999999998,2.2350000000000003,5.94
659475.3200000001,5085374.19,1.525,1.28,6.43,0,-0.5800000000000001,3.62,7.814999999999999
659475.26,5085374.095,1.46,0.74,6.43,0,-0.5800000000000001,3.62,7.814999999999999
659475.23,5085374.005,1.245,0.44,6.59,0,-0.5800000000000001,3.62,7.814999999999999
659475.23,5085373.915,-2.355,0.89,7.314999999999999,0,-0.5800000000000001,3.62,7.814999999999999
659474.87,5085372.745,-2.19,1.52,7.235,0,-0.5800000000000001,3.62,7.814999999999999
659474.485,5085371.4350000005,-2.045,0.975,5.975,0,-0.6799999999999999,2.5749999999999997,6.029999999999999
659474.4299999999,5085371.065,-3.485,0.025,5.3100000000000005,0,-0.6499999999999999,2.0849999999999995,5.114999999999998
659474.37,5085370.74,-1.315,-0.125,5.3100000000000005,0,-1.355,1.5049999999999994,4.674999999999999
659474.315,5085370.46,-3.785,0.035,5.234999999999999,0,-1.355,1.5049999999999994,4.674999999999999
659474.26,5085370.18,-3.655,0.03,5.22,0,-1.22,1.3299999999999996,4.709999999999999
659474.2,5085369.9,-3.96,-0.24,5.205,0,-0.5599999999999999,1.7249999999999996,4.824999999999999
659474.175,5085369.67,-8.365,-0.275,5.244999999999999,0,-0.5599999999999999,1.7249999999999996,4.824999999999999
659474.18,5085369.484999999,-5.415000000000001,-0.0499999999999999,5.574999999999999,0,-0.7849999999999999,2.04,4.739999999999998
659474.1200000001,5085369.25,-3.46,0.5,5.449999999999999,0,-0.7849999999999999,2.04,4.739999999999998
659474.0,5085368.970000001,-2.755,1.0499999999999998,4.945,0,-0.775,2.17,4.774999999999999
659473.9099999999,5085368.595000001,2.77,1.35,5.17,0,-1.03,1.7049999999999996,4.469999999999999
659473.855,5085368.130000001,1.99,1.455,5.465,0,-1.1,1.6099999999999994,4.344999999999999
659473.77,5085367.665,0.8400000000000001,1.37,5.215,0,-0.875,2.01,4.544999999999999
659473.655,5085367.199999999,3.99,1.22,5.27,0,-1.02,1.8749999999999996,4.354999999999999
659473.54,5085366.734999999,-0.0949999999999997,0.8200000000000001,5.355,0,-1.02,1.8749999999999996,4.354999999999999
659473.4199999999,5085366.265000001,-2.24,0.1699999999999999,5.135,0,-1.0,1.6599999999999993,4.274999999999999
659473.3049999999,5085365.800000001,-0.555,0.245,4.93,0,-0.93,1.7149999999999994,4.459999999999999
659473.19,5085365.335,0.565,0.55,4.869999999999999,0,-1.355,1.739999999999999,4.399999999999999
659473.0700000001,5085364.869999999,2.41,-0.235,4.845,0,-0.125,1.4399999999999993,4.319999999999999
659472.95,5085364.404999999,-2.865,-0.6599999999999999,4.58,0,-0.125,1.4399999999999993,4.319999999999999
659472.865,5085363.9350000005,-3.845,-0.1649999999999999,4.4,0,0.09,1.5349999999999993,4.199999999999999
659472.815,5085363.470000001,-3.485,-0.01,4.445,0,-1.16,1.6649999999999991,4.079999999999999
659472.765,5085363.01,-4.38,-0.37,4.44,0,-1.77,1.1899999999999993,4.009999999999999
659472.71,5085362.545,-2.43,-0.665,4.4350000000000005,0,-1.835,0.8099999999999992,3.959999999999999
