x,y,z,lat,lon
0,0,2584.518,46.76394506,11.03719786
4.79770096,0,2585.3978155,46.76390454,11.03717622
9.59540192,0,2585.24000851,46.76386424,11.03715376
14.39310288,0,2584.50485649,46.76382491,11.03712796
19.19080385,0,2584.2340364,46.7637847,11.03710522
23.98850481,0,2584.02372095,46.76374446,11.03708253
28.78620577,0,2583.77943112,46.76370609,11.03705401
33.58390673,0,2583.7212377,46.76366735,11.0370264
38.38160769,0,2582.8358455,46.76362766,11.03700176
43.17930865,0,2584.32033563,46.76358964,11.03697587
47.97700961,0,2587.47947253,46.76354944,11.03695305
52.77471058,0,2590.75316753,46.76350841,11.03693477
57.57241154,0,2592.5792035,46.76346695,11.03691769
62.3701125,0,2592.94420171,46.76342718,11.03689765
67.16781346,0,2593.97891618,46.76338541,11.03688231
71.96551442,0,2595.23438558,46.76334375,11.0368661
76.76321538,0,2594.98713272,46.76330279,11.03684677
81.56091635,0,2595.21823334,46.76326126,11.03683002
86.35861731,0,2594.03522805,46.76322087,11.03680864
91.15631827,0,2592.51645436,46.76317979,11.0367906
95.95401923,0,2591.93525766,46.76313962,11.0367677
100.75172019,0,2591.20614997,46.76309826,11.03675165
105.54942115,0,2590.47091166,46.7630582,11.03673318
110.34712211,0,2592.53061685,46.76301654,11.03672092
115.14482308,0,2595.67323318,46.76297733,11.03669711
119.94252404,0,2595.90910364,46.76293613,11.03667995
124.740225,0,2594.582273,46.76289636,11.03665567
129.53792596,0,2595.5641974,46.7628548,11.03663895
134.33562692,0,2597.64138829,46.76281228,11.03663089
139.13332788,0,2598.8852712,46.76277031,11.03661836
143.93102884,0,2600.06105286,46.7627284,11.0366043
148.72872981,0,2600.5384874,46.76268793,11.03658532
153.52643077,0,2599.75795069,46.7626495,11.03655953
158.32413173,0,2598.34246713,46.7626131,11.0365294
163.12183269,0,2598.10042593,46.76257022,11.036523
167.91953365,0,2598.04615712,46.76252954,11.03650313
172.71723461,0,2597.99921115,46.76249154,11.03647408
177.51493558,0,2597.9627801,46.76244983,11.0364622
182.31263654,0,2596.96329906,46.76241067,11.03643666
187.1103375,0,2596.05463597,46.76237028,11.03643415
191.90803846,0,2594.3930779,46.76233105,11.03640845
196.70573942,0,2592.74029104,46.76229213,11.03638673
201.50344038,0,2590.64622227,46.76225014,11.03637415
206.30114134,0,2589.22010808,46.76220793,11.03636245
211.09884231,0,2588.88746555,46.76216575,11.03634935
215.89654327,0,2588.3939103,46.76212331,11.03633911
220.69424423,0,2589.7304802,46.76208104,11.03633019
225.49194519,0,2591.1729852,46.76203875,11.03631783
230.28964615,0,2591.66040764,46.7619975,11.03629937
235.08734711,0,2593.44808841,46.76195773,11.03627519
239.88504807,0,2595.50664002,46.76191762,11.03625227
244.68274904,0,2597.52928807,46.76187655,11.03623372
249.48045,0,2599.34263437,46.7618378,11.03621078
254.27815096,0,2598.87732455,46.76179992,11.03618735
259.07585192,0,2597.34568466,46.76175922,11.03616749
263.87355288,0,2595.45231317,46.76171831,11.03614786
268.67125384,0,2592.78678491,46.76167905,11.03612302
273.46895481,0,2592.1487132,46.76163805,11.03610384
278.26665577,0,2590.66123654,46.76159801,11.036081
283.06435673,0,2589.0964105,46.76155773,11.03606102
287.86205769,0,2587.6252517,46.76151851,11.03603624
292.65975865,0,2586.51171389,46.76147874,11.03602017
297.45745961,0,2585.48150845,46.76143874,11.03599702
302.25516057,0,2584.88241467,46.76139881,11.03597393
307.05286154,0,2584.81682719,46.76135912,11.03595539
311.8505625,0,2584.16587999,46.76131995,11.03593093
316.64826346,0,2584.7505211,46.76128053,11.03590777
321.44596442,0,2584.25144919,46.76124236,11.03587847
326.24366538,0,2583.94426458,46.76120243,11.03585696
331.04136634,0,2583.48030241,46.76116354,11.03583079
335.8390673,0,2582.9489806,46.76112399,11.03580657
340.63676827,0,2582.897,46.76109241,11.03578691
