,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,1.00,5.00,3.00,7.00,1007.59,0.03,0.00,-61.26,2234.597,41.804
,Mixed / non conventional,1.00,5.00,7.00,11.00,2343.87,0.05,0.00,16.05,-4158.511,41.804
,Mixed / non conventional,1.00,5.00,11.00,15.00,1168.93,0.80,0.00,-31.87,-296.274,41.804
,Mixed / non conventional,1.00,5.00,15.00,19.00,1449.42,2.72,0.00,22.35,-122.456,41.804
,Mixed / non conventional,1.00,5.00,19.00,23.00,1412.80,11.54,0.00,21.52,-54.255,41.804
,Mixed / non conventional,2.00,6.00,4.00,8.00,3191.76,0.05,0.00,-292.53,4470.569,26.402
,Mixed / non conventional,2.00,6.00,8.00,12.00,2945.28,0.02,0.00,135.73,-3300.267,26.402
,Mixed / non conventional,2.00,6.00,12.00,16.00,1861.96,0.04,0.00,-19.80,-298.054,26.402
,Mixed / non conventional,2.00,6.00,16.00,20.00,2393.31,0.05,0.00,47.32,-127.703,26.402
,Mixed / non conventional,2.00,6.00,20.00,24.00,1971.37,0.43,0.00,-19.07,-47.813,26.402
,Mixed / non conventional,3.00,7.00,1.00,5.00,1006.67,0.05,0.00,-296.06,1260.653,23.605
,Mixed / non conventional,3.00,7.00,5.00,9.00,1689.76,0.03,0.00,227.59,2116.085,23.605
,Mixed / non conventional,3.00,7.00,9.00,13.00,1737.44,0.00,0.00,-133.85,-1740.634,23.605
,Mixed / non conventional,3.00,7.00,13.00,17.00,1664.12,0.00,0.00,2.96,-238.169,23.605
,Mixed / non conventional,3.00,7.00,17.00,21.00,2381.32,0.00,0.00,42.90,-113.604,23.605
,Mixed / non conventional,3.00,7.00,21.00,25.00,2345.84,0.00,0.00,-55.84,-50.869,23.605
,Mixed / non conventional,4.00,8.00,2.00,6.00,3192.93,0.04,0.00,179.82,3695.991,21.819
,Mixed / non conventional,4.00,8.00,6.00,10.00,-262.16,0.05,0.00,-116.03,-303.460,21.819
,Mixed / non conventional,4.00,8.00,10.00,14.00,1055.01,0.03,0.00,15.41,-976.985,21.819
,Mixed / non conventional,4.00,8.00,14.00,18.00,1735.01,0.05,0.00,-10.54,-229.528,21.819
,Mixed / non conventional,4.00,8.00,18.00,22.00,2436.70,0.00,0.00,19.99,-107.452,21.819
,Mixed / non conventional,4.00,8.00,22.00,26.00,2501.82,0.03,0.00,-23.19,-50.147,21.819
,Mixed / non conventional,5.00,9.00,3.00,7.00,1688.08,0.03,0.00,282.44,1546.770,17.272
,Mixed / non conventional,5.00,9.00,7.00,11.00,1292.34,0.00,0.00,-141.89,1184.161,17.272
,Mixed / non conventional,5.00,9.00,11.00,15.00,731.79,0.03,0.00,-30.46,-536.424,17.272
,Mixed / non conventional,5.00,9.00,15.00,19.00,1664.65,0.03,0.00,22.39,-174.321,17.272
,Mixed / non conventional,5.00,9.00,19.00,23.00,3013.80,0.06,0.00,21.87,-105.201,17.272
,Mixed / non conventional,5.00,9.00,23.00,27.00,3181.62,0.00,0.00,-8.31,-50.481,17.272
,Mixed / non conventional,6.00,10.00,4.00,8.00,-260.76,0.17,0.00,-68.74,-102.590,7.416
,Mixed / non conventional,6.00,10.00,8.00,12.00,5480.85,0.07,0.00,-30.11,2156.301,7.416
,Mixed / non conventional,6.00,10.00,12.00,16.00,3395.96,0.08,0.00,-20.47,-1068.842,7.416
,Mixed / non conventional,6.00,10.00,16.00,20.00,4723.31,0.08,0.00,46.85,-212.373,7.416
,Mixed / non conventional,6.00,10.00,20.00,24.00,6774.57,0.06,0.00,-19.43,-101.534,7.416
,Mixed / non conventional,6.00,10.00,24.00,28.00,7322.26,0.10,0.00,-29.85,-49.883,7.416
,Mixed / non conventional,7.00,11.00,1.00,5.00,2301.48,0.11,0.00,-338.15,-211.771,2.168
,Mixed / non conventional,7.00,11.00,5.00,9.00,1271.88,0.13,0.00,362.59,146.290,2.168
,Mixed / non conventional,7.00,11.00,9.00,13.00,9443.25,0.08,0.00,-178.18,1086.154,2.168
,Mixed / non conventional,7.00,11.00,13.00,17.00,7346.78,0.09,0.00,0.57,-676.016,2.168
,Mixed / non conventional,7.00,11.00,17.00,21.00,11199.69,0.09,0.00,42.02,-147.220,2.168
,Mixed / non conventional,7.00,11.00,21.00,25.00,11989.83,0.08,0.00,-56.62,-52.536,2.168
,Mixed / non conventional,7.00,11.00,25.00,29.00,25260.91,0.08,0.00,-44.23,-50.311,2.168
,Mixed / non conventional,8.00,12.00,2.00,6.00,2890.67,0.29,0.00,-22.67,-232.622,1.896
,Mixed / non conventional,8.00,12.00,6.00,10.00,5401.24,0.28,0.00,113.44,543.320,1.896
,Mixed / non conventional,8.00,12.00,10.00,14.00,6061.75,0.28,0.00,-77.19,609.761,1.896
,Mixed / non conventional,8.00,12.00,14.00,18.00,7294.67,0.28,0.00,-10.99,-587.027,1.896
,Mixed / non conventional,8.00,12.00,18.00,22.00,11468.71,0.28,0.00,19.80,-131.846,1.896
,Mixed / non conventional,8.00,12.00,22.00,26.00,13053.85,0.28,0.00,-23.38,-50.023,1.896
,Mixed / non conventional,8.00,12.00,26.00,30.00,29585.03,0.25,0.00,-4.76,-51.533,1.896
,Mixed / non conventional,9.00,13.00,3.00,7.00,1682.66,0.26,0.00,159.49,-94.317,1.321
,Mixed / non conventional,9.00,13.00,7.00,11.00,9308.86,0.26,0.00,-42.12,652.229,1.321
,Mixed / non conventional,9.00,13.00,11.00,15.00,2220.95,0.27,0.00,-64.99,155.612,1.321
,Mixed / non conventional,9.00,13.00,15.00,19.00,6839.33,0.26,0.00,20.34,-383.361,1.321
,Mixed / non conventional,9.00,13.00,19.00,23.00,16144.95,0.26,0.00,20.35,-129.280,1.321
,Mixed / non conventional,9.00,13.00,23.00,27.00,22604.01,0.27,0.00,-8.70,-60.334,1.321
,Mixed / non conventional,9.00,13.00,27.00,31.00,41483.89,0.24,0.00,-6.95,-50.331,1.321
,Mixed / non conventional,10.00,14.00,4.00,8.00,1032.97,0.15,0.00,-163.47,-67.992,1.551
,Mixed / non conventional,10.00,14.00,8.00,12.00,6056.12,0.18,0.00,61.61,498.280,1.551
,Mixed / non conventional,10.00,14.00,12.00,16.00,7161.01,0.16,0.00,-58.05,589.187,1.551
,Mixed / non conventional,10.00,14.00,16.00,20.00,8816.29,0.17,0.00,46.34,-580.303,1.551
,Mixed / non conventional,10.00,14.00,20.00,24.00,18840.64,0.17,0.00,-19.91,-177.160,1.551
,Mixed / non conventional,10.00,14.00,24.00,28.00,30142.48,0.18,0.00,-29.79,-94.478,1.551
,Mixed / non conventional,10.00,14.00,28.00,32.00,35197.35,0.20,0.00,29.08,-50.146,1.551
,Mixed / non conventional,11.00,15.00,1.00,5.00,1151.09,0.05,0.00,-283.33,-47.249,6.770
,Mixed / non conventional,11.00,15.00,5.00,9.00,728.47,0.08,0.00,294.76,-209.312,6.770
,Mixed / non conventional,11.00,15.00,9.00,13.00,2288.32,0.11,0.00,-124.77,821.881,6.770
,Mixed / non conventional,11.00,15.00,13.00,17.00,15049.46,0.10,0.00,-26.92,5405.221,6.770
,Mixed / non conventional,11.00,15.00,17.00,21.00,12637.68,0.09,0.00,44.17,-3631.199,6.770
,Mixed / non conventional,11.00,15.00,21.00,25.00,20113.75,0.09,0.00,-56.00,-825.615,6.770
,Mixed / non conventional,11.00,15.00,25.00,29.00,49556.44,0.10,0.00,-44.49,-678.052,6.770
,Mixed / non conventional,11.00,15.00,29.00,33.00,44697.14,0.10,0.00,84.92,-277.985,6.770
,Mixed / non conventional,12.00,16.00,2.00,6.00,1845.34,0.10,0.00,-43.92,-52.823,4.721
,Mixed / non conventional,12.00,16.00,6.00,10.00,3397.08,0.12,0.00,51.18,-680.688,4.721
,Mixed / non conventional,12.00,16.00,10.00,14.00,7278.47,0.13,0.00,3.67,1823.026,4.721
,Mixed / non conventional,12.00,16.00,14.00,18.00,11833.44,0.11,0.00,-32.44,2963.904,4.721
,Mixed / non conventional,12.00,16.00,18.00,22.00,11838.38,0.12,0.00,19.15,-2372.113,4.721
,Mixed / non conventional,12.00,16.00,22.00,26.00,19142.00,0.12,0.00,-23.32,-547.939,4.721
,Mixed / non conventional,12.00,16.00,26.00,30.00,53472.52,0.11,0.00,-4.95,-510.216,4.721
,Mixed / non conventional,12.00,16.00,30.00,34.00,48094.56,0.12,0.00,34.82,-208.592,4.721
,Mixed / non conventional,13.00,17.00,3.00,7.00,1651.01,0.20,0.00,125.57,-51.020,5.097
,Mixed / non conventional,13.00,17.00,7.00,11.00,7432.11,0.19,0.00,-138.78,-1607.687,5.097
,Mixed / non conventional,13.00,17.00,11.00,15.00,15032.55,0.20,0.00,144.36,4064.733,5.097
,Mixed / non conventional,13.00,17.00,15.00,19.00,7280.17,0.20,0.00,-85.10,1968.524,5.097
,Mixed / non conventional,13.00,17.00,19.00,23.00,11721.70,0.20,0.00,21.79,-2535.595,5.097
,Mixed / non conventional,13.00,17.00,23.00,27.00,21926.54,0.20,0.00,-8.14,-677.581,5.097
,Mixed / non conventional,13.00,17.00,27.00,31.00,49184.81,0.20,0.00,-6.62,-506.642,5.097
,Mixed / non conventional,13.00,17.00,31.00,35.00,50654.32,0.19,0.00,72.52,-237.172,5.097
,Mixed / non conventional,14.00,18.00,4.00,8.00,1721.76,0.03,0.00,-184.55,-50.391,4.827
,Mixed / non conventional,14.00,18.00,8.00,12.00,7369.52,0.03,0.00,-21.31,-1509.784,4.827
,Mixed / non conventional,14.00,18.00,12.00,16.00,11788.05,0.04,0.00,106.39,3018.751,4.827
,Mixed / non conventional,14.00,18.00,16.00,20.00,9250.22,0.00,0.00,-27.13,2368.851,4.827
,Mixed / non conventional,14.00,18.00,20.00,24.00,10758.92,0.04,0.00,-17.86,-2204.164,4.827
,Mixed / non conventional,14.00,18.00,24.00,28.00,22998.87,0.03,0.00,-29.27,-673.107,4.827
,Mixed / non conventional,14.00,18.00,28.00,32.00,34257.47,0.00,0.00,28.84,-334.204,4.827
,Mixed / non conventional,14.00,18.00,32.00,36.00,53088.30,0.03,0.00,37.75,-235.414,4.827
,Mixed / non conventional,15.00,19.00,1.00,5.00,1433.45,0.03,0.00,-260.13,-47.757,16.485
,Mixed / non conventional,15.00,19.00,5.00,9.00,1655.63,0.04,0.00,275.97,-165.476,16.485
,Mixed / non conventional,15.00,19.00,9.00,13.00,7051.09,0.06,0.00,-216.00,-4933.188,16.485
,Mixed / non conventional,15.00,19.00,13.00,17.00,7311.39,0.00,0.00,147.87,6394.123,16.485
,Mixed / non conventional,15.00,19.00,17.00,21.00,10672.77,0.00,0.00,-31.10,718.334,1.269
,Mixed / non conventional,15.00,19.00,21.00,25.00,7618.65,0.06,0.00,-54.27,-410.221,1.269
,Mixed / non conventional,15.00,19.00,25.00,29.00,26060.45,0.06,0.00,-43.71,-200.458,1.269
,Mixed / non conventional,15.00,19.00,29.00,33.00,28813.92,0.05,0.00,85.88,-73.879,1.269
,Mixed / non conventional,15.00,19.00,33.00,37.00,43125.93,0.10,0.00,53.38,-50.262,1.269
,Mixed / non conventional,16.00,20.00,2.00,6.00,2378.31,0.09,0.00,-68.20,-51.087,10.628
,Mixed / non conventional,16.00,20.00,6.00,10.00,4736.36,0.03,0.00,51.32,-305.215,10.628
,Mixed / non conventional,16.00,20.00,10.00,14.00,8972.45,0.05,0.00,-62.34,-4047.348,10.628
,Mixed / non conventional,16.00,20.00,14.00,18.00,9288.14,0.04,0.00,82.45,5237.192,10.628
,Mixed / non conventional,16.00,20.00,18.00,22.00,11188.25,0.42,0.00,-26.58,678.032,1.142
,Mixed / non conventional,16.00,20.00,22.00,26.00,7313.45,0.41,0.00,-20.14,-354.569,1.142
,Mixed / non conventional,16.00,20.00,26.00,30.00,30304.08,0.42,0.00,-3.93,-209.885,1.142
,Mixed / non conventional,16.00,20.00,30.00,34.00,31985.85,0.39,0.00,35.47,-73.844,1.142
,Mixed / non conventional,16.00,20.00,34.00,38.00,47814.23,0.23,0.00,42.56,-50.176,1.142
,Mixed / non conventional,17.00,21.00,3.00,7.00,2379.98,0.20,0.00,95.47,-53.618,11.147
,Mixed / non conventional,17.00,21.00,7.00,11.00,11415.65,0.15,0.00,-100.87,-771.537,11.147
,Mixed / non conventional,17.00,21.00,11.00,15.00,12696.83,0.14,0.00,-118.94,-6006.885,11.147
,Mixed / non conventional,17.00,21.00,15.00,19.00,10638.94,0.84,0.00,268.06,759.041,1.345
,Mixed / non conventional,17.00,21.00,19.00,23.00,13699.73,0.90,0.00,-85.54,977.414,1.345
,Mixed / non conventional,17.00,21.00,23.00,27.00,8220.47,0.91,0.00,-4.89,-469.195,1.345
,Mixed / non conventional,17.00,21.00,27.00,31.00,28256.79,0.88,0.00,-4.25,-230.399,1.345
,Mixed / non conventional,17.00,21.00,31.00,35.00,33794.98,0.89,0.00,73.03,-91.852,1.345
,Mixed / non conventional,17.00,21.00,35.00,39.00,40583.44,0.89,0.00,4.67,-50.138,1.345
,Mixed / non conventional,18.00,22.00,4.00,8.00,2411.50,0.33,0.00,-204.85,-38.421,7.883
,Mixed / non conventional,18.00,22.00,8.00,12.00,11677.51,0.23,0.00,4.29,-558.155,7.883
,Mixed / non conventional,18.00,22.00,12.00,16.00,11825.78,0.20,0.00,-194.17,-3956.689,7.883
,Mixed / non conventional,18.00,22.00,16.00,20.00,11926.56,0.28,0.00,447.07,4988.010,7.883
,Mixed / non conventional,18.00,22.00,20.00,24.00,8927.28,0.17,0.00,-97.13,775.780,1.638
,Mixed / non conventional,18.00,22.00,24.00,28.00,6479.34,0.15,0.00,-25.51,-450.443,1.638
,Mixed / non conventional,18.00,22.00,28.00,32.00,17406.04,0.15,0.00,32.46,-172.867,1.638
,Mixed / non conventional,18.00,22.00,32.00,36.00,30947.67,0.16,0.00,39.78,-102.451,1.638
,Mixed / non conventional,18.00,22.00,36.00,40.00,33186.17,0.13,0.00,13.77,-49.937,1.638
,Mixed / non conventional,19.00,23.00,1.00,5.00,1306.84,0.30,0.00,-238.40,-28.312,23.583
,Mixed / non conventional,19.00,23.00,5.00,9.00,3004.09,0.06,0.00,257.13,-143.181,23.583
,Mixed / non conventional,19.00,23.00,9.00,13.00,16683.13,0.03,0.00,-180.40,-2385.458,23.583
,Mixed / non conventional,19.00,23.00,13.00,17.00,11519.16,0.03,0.00,-67.95,-974.439,1.993
,Mixed / non conventional,19.00,23.00,17.00,21.00,13644.71,0.02,0.00,240.67,1442.807,1.993
,Mixed / non conventional,19.00,23.00,21.00,25.00,7916.51,0.04,0.00,-155.21,837.102,1.993
,Mixed / non conventional,19.00,23.00,25.00,29.00,8009.18,0.05,0.00,-40.19,-677.520,1.993
,Mixed / non conventional,19.00,23.00,29.00,33.00,14498.60,0.03,0.00,87.89,-175.211,1.993
,Mixed / non conventional,19.00,23.00,33.00,37.00,26249.48,0.03,0.00,54.94,-105.739,1.993
,Mixed / non conventional,19.00,23.00,37.00,41.00,27367.93,0.03,0.00,43.07,-50.111,1.993
,Mixed / non conventional,20.00,24.00,2.00,6.00,2210.68,1.31,0.00,-100.56,-42.836,21.093
,Mixed / non conventional,20.00,24.00,6.00,10.00,6497.08,0.23,0.00,53.12,-276.966,21.093
,Mixed / non conventional,20.00,24.00,10.00,14.00,19052.39,0.00,0.00,-38.24,-2436.573,21.093
,Mixed / non conventional,20.00,24.00,14.00,18.00,10784.87,0.03,0.00,-49.97,-9654.792,21.093
,Mixed / non conventional,20.00,24.00,18.00,22.00,9248.11,0.28,0.00,224.61,812.232,1.655
,Mixed / non conventional,20.00,24.00,22.00,26.00,16585.88,0.31,0.00,-152.99,1456.685,1.655
,Mixed / non conventional,20.00,24.00,26.00,30.00,13019.77,0.31,0.00,-7.70,-914.788,1.655
,Mixed / non conventional,20.00,24.00,30.00,34.00,17536.07,0.32,0.00,35.86,-176.016,1.655
,Mixed / non conventional,20.00,24.00,34.00,38.00,30820.25,0.33,0.00,44.68,-103.118,1.655
,Mixed / non conventional,20.00,24.00,38.00,42.00,32794.11,0.31,0.00,-26.38,-49.874,1.655
,Mixed / non conventional,21.00,25.00,3.00,7.00,2301.04,0.22,0.00,70.11,-11.236,5.315
,Mixed / non conventional,21.00,25.00,7.00,11.00,12023.64,0.13,0.00,-88.51,-129.166,5.315
,Mixed / non conventional,21.00,25.00,11.00,15.00,19871.96,0.13,0.00,-84.14,-640.434,5.315
,Mixed / non conventional,21.00,25.00,15.00,19.00,7657.54,0.15,0.00,13.81,-1727.511,5.315
,Mixed / non conventional,21.00,25.00,19.00,23.00,7880.75,0.23,0.00,311.62,2222.332,5.315
,Mixed / non conventional,21.00,25.00,23.00,27.00,12949.83,0.05,0.00,-200.35,3651.789,5.315
,Mixed / non conventional,21.00,25.00,27.00,31.00,10177.33,0.06,0.00,-1.65,-2295.965,5.315
,Mixed / non conventional,21.00,25.00,31.00,35.00,16088.84,0.48,0.00,73.25,-518.511,5.315
,Mixed / non conventional,21.00,25.00,35.00,39.00,21282.00,0.05,0.00,5.10,-228.625,5.315
,Mixed / non conventional,21.00,25.00,39.00,43.00,28490.80,0.40,0.00,46.16,-139.122,5.315
,Mixed / non conventional,22.00,26.00,4.00,8.00,2629.08,0.31,0.00,-213.12,-12.992,5.379
,Mixed / non conventional,22.00,26.00,8.00,12.00,13606.35,0.00,0.00,31.54,-147.918,5.379
,Mixed / non conventional,22.00,26.00,12.00,16.00,19722.71,0.04,0.00,-71.29,-643.231,5.379
,Mixed / non conventional,22.00,26.00,16.00,20.00,8127.12,0.20,0.00,215.76,-1855.390,5.379
,Mixed / non conventional,22.00,26.00,20.00,24.00,17459.70,0.13,0.00,-196.42,4982.479,5.379
,Mixed / non conventional,22.00,26.00,24.00,28.00,1422.18,0.70,0.00,51.66,405.849,5.379
,Mixed / non conventional,22.00,26.00,28.00,32.00,7190.37,0.19,0.00,31.64,-1641.534,5.379
,Mixed / non conventional,22.00,26.00,32.00,36.00,16772.94,0.30,0.00,39.38,-547.029,5.379
,Mixed / non conventional,22.00,26.00,36.00,40.00,20400.01,0.25,0.00,11.41,-221.773,5.379
,Mixed / non conventional,22.00,26.00,40.00,44.00,27729.87,0.93,0.00,-2.36,-137.027,5.379
,Mixed / non conventional,23.00,27.00,5.00,9.00,3170.45,0.17,0.00,249.99,-26.546,9.115
,Mixed / non conventional,23.00,27.00,9.00,13.00,23290.49,0.07,0.00,-173.23,-429.027,9.115
,Mixed / non conventional,23.00,27.00,13.00,17.00,21992.05,0.07,0.00,-51.08,-1215.327,9.115
,Mixed / non conventional,23.00,27.00,17.00,21.00,8397.39,0.09,0.00,142.32,-3248.401,9.115
,Mixed / non conventional,23.00,27.00,21.00,25.00,12942.76,0.08,0.00,59.81,6258.387,9.115
,Mixed / non conventional,23.00,27.00,25.00,29.00,8601.67,0.04,0.00,-152.48,728.830,1.597
,Mixed / non conventional,23.00,27.00,29.00,33.00,8385.60,0.07,0.00,86.62,-568.418,1.597
,Mixed / non conventional,23.00,27.00,33.00,37.00,21091.55,0.07,0.00,53.02,-204.242,1.597
,Mixed / non conventional,23.00,27.00,37.00,41.00,20734.21,0.05,0.00,41.82,-66.927,1.597
,Mixed / non conventional,23.00,27.00,41.00,45.00,34037.73,0.17,0.00,-70.31,-49.940,1.597
,Mixed / non conventional,24.00,28.00,6.00,10.00,7779.48,1.86,0.00,52.76,-52.845,7.394
,Mixed / non conventional,24.00,28.00,10.00,14.00,30776.72,0.11,0.00,-31.63,-459.937,7.394
,Mixed / non conventional,24.00,28.00,14.00,18.00,23155.76,0.07,0.00,-32.43,-1038.141,7.394
,Mixed / non conventional,24.00,28.00,18.00,22.00,6646.82,0.07,0.00,78.20,-2085.977,7.394
,Mixed / non conventional,24.00,28.00,22.00,26.00,1494.58,0.72,0.00,52.09,586.306,7.394
,Mixed / non conventional,24.00,28.00,26.00,30.00,23681.88,0.33,0.00,-75.24,2179.624,1.735
,Mixed / non conventional,24.00,28.00,30.00,34.00,12109.64,0.32,0.00,34.97,-891.634,1.735
,Mixed / non conventional,24.00,28.00,34.00,38.00,30998.66,0.32,0.00,41.91,-326.062,1.735
,Mixed / non conventional,24.00,28.00,38.00,42.00,31484.14,0.30,0.00,-24.85,-110.389,1.735
,Mixed / non conventional,24.00,28.00,42.00,46.00,31433.41,0.33,0.00,17.91,-50.096,1.735
,Mixed / non conventional,25.00,29.00,7.00,11.00,25325.87,0.68,0.00,-76.74,-49.554,2.130
,Mixed / non conventional,25.00,29.00,11.00,15.00,48860.79,0.63,0.00,-72.99,-210.329,2.130
,Mixed / non conventional,25.00,29.00,15.00,19.00,26133.32,0.63,0.00,24.41,-337.486,2.130
,Mixed / non conventional,25.00,29.00,19.00,23.00,8063.07,0.64,0.00,91.36,-728.885,2.130
,Mixed / non conventional,25.00,29.00,23.00,27.00,8639.19,0.64,0.00,133.46,976.208,2.130
,Mixed / non conventional,25.00,29.00,27.00,31.00,18712.50,0.64,0.00,-146.12,2114.466,2.130
,Mixed / non conventional,25.00,29.00,31.00,35.00,11897.50,0.64,0.00,70.45,-1075.510,2.130
,Mixed / non conventional,25.00,29.00,35.00,39.00,25699.02,0.63,0.00,4.39,-331.877,2.130
,Mixed / non conventional,25.00,29.00,39.00,43.00,36807.32,0.64,0.00,47.10,-158.443,2.130
,Mixed / non conventional,25.00,29.00,43.00,47.00,34957.59,0.63,0.00,5.14,-68.400,2.130
,Mixed / non conventional,26.00,30.00,8.00,12.00,30033.45,0.12,0.00,41.09,-61.398,2.225
,Mixed / non conventional,26.00,30.00,12.00,16.00,52784.18,0.11,0.00,-62.06,-237.395,2.225
,Mixed / non conventional,26.00,30.00,16.00,20.00,30972.49,0.11,0.00,174.27,-417.894,2.225
,Mixed / non conventional,26.00,30.00,20.00,24.00,13102.19,0.11,0.00,-149.21,-1237.463,2.225
,Mixed / non conventional,26.00,30.00,24.00,28.00,23781.19,0.12,0.00,42.39,2807.577,2.225
,Mixed / non conventional,26.00,30.00,28.00,32.00,5631.25,0.11,0.00,20.83,664.819,2.225
,Mixed / non conventional,26.00,30.00,32.00,36.00,9713.97,0.11,0.00,36.71,-917.456,2.225
,Mixed / non conventional,26.00,30.00,36.00,40.00,20187.32,0.12,0.00,13.12,-272.376,2.225
,Mixed / non conventional,26.00,30.00,40.00,44.00,32682.90,0.12,0.00,-3.59,-146.990,2.225
,Mixed / non conventional,26.00,30.00,44.00,48.00,24565.49,0.09,0.00,23.42,-50.219,2.225
,Mixed / non conventional,27.00,31.00,9.00,13.00,42388.35,0.25,0.00,-169.72,-102.873,2.642
,Mixed / non conventional,27.00,31.00,13.00,17.00,48920.36,0.24,0.00,-40.58,-261.196,2.642
,Mixed / non conventional,27.00,31.00,17.00,21.00,28544.60,0.24,0.00,143.77,-457.218,2.642
,Mixed / non conventional,27.00,31.00,21.00,25.00,10136.05,0.27,0.00,-81.18,-1136.490,2.642
,Mixed / non conventional,27.00,31.00,25.00,29.00,18850.05,0.25,0.00,-15.97,2641.919,2.642
,Mixed / non conventional,27.00,31.00,29.00,33.00,4799.41,0.24,0.00,60.08,672.658,2.642
,Mixed / non conventional,27.00,31.00,33.00,37.00,7394.61,0.25,0.00,42.09,-829.111,2.642
,Mixed / non conventional,27.00,31.00,37.00,41.00,13518.27,0.17,0.00,40.63,-216.531,2.642
,Mixed / non conventional,27.00,31.00,41.00,45.00,23510.67,0.68,0.00,-69.54,-125.529,2.642
,Mixed / non conventional,27.00,31.00,45.00,49.00,20988.71,0.21,0.00,-12.53,-50.938,2.642
,Mixed / non conventional,28.00,32.00,10.00,14.00,35358.45,0.39,0.00,-28.44,-116.964,3.601
,Mixed / non conventional,28.00,32.00,14.00,18.00,34076.60,0.39,0.00,-29.83,-247.992,3.601
,Mixed / non conventional,28.00,32.00,18.00,22.00,17683.02,0.39,0.00,86.76,-386.065,3.601
,Mixed / non conventional,28.00,32.00,22.00,26.00,7067.34,0.39,0.00,-46.28,-1080.084,3.601
,Mixed / non conventional,28.00,32.00,26.00,30.00,5644.79,0.39,0.00,29.62,1078.349,3.601
,Mixed / non conventional,28.00,32.00,30.00,34.00,11765.02,0.39,0.00,-1.98,2247.524,3.601
,Mixed / non conventional,28.00,32.00,34.00,38.00,6174.77,0.39,0.00,41.54,-943.675,3.601
,Mixed / non conventional,28.00,32.00,38.00,42.00,12314.35,0.39,0.00,-24.61,-268.853,3.601
,Mixed / non conventional,28.00,32.00,42.00,46.00,13834.91,0.39,0.00,17.53,-100.684,3.601
,Mixed / non conventional,28.00,32.00,46.00,50.00,15089.15,0.40,0.00,-21.57,-49.914,3.601
,Mixed / non conventional,29.00,33.00,11.00,15.00,43897.59,0.79,0.00,-67.85,-113.658,2.818
,Mixed / non conventional,29.00,33.00,15.00,19.00,28783.51,0.79,0.00,25.18,-163.955,2.818
,Mixed / non conventional,29.00,33.00,19.00,23.00,14512.77,0.79,0.00,99.21,-248.000,2.818
,Mixed / non conventional,29.00,33.00,23.00,27.00,8365.62,0.79,0.00,26.55,-1000.687,2.818
,Mixed / non conventional,29.00,33.00,27.00,31.00,4749.86,0.79,0.00,1.71,710.216,2.818
,Mixed / non conventional,29.00,33.00,31.00,35.00,13921.87,0.79,0.00,11.84,2081.649,2.818
,Mixed / non conventional,29.00,33.00,35.00,39.00,7094.95,0.79,0.00,5.38,-848.690,2.818
,Mixed / non conventional,29.00,33.00,39.00,43.00,11796.91,0.79,0.00,47.70,-201.591,2.818
,Mixed / non conventional,29.00,33.00,43.00,47.00,11103.59,0.78,0.00,4.45,-63.248,2.818
,Mixed / non conventional,29.00,33.00,47.00,51.00,19349.42,0.80,0.00,-89.62,-50.099,2.818
,Mixed / non conventional,30.00,34.00,12.00,16.00,47548.71,0.23,0.00,-58.15,-128.846,2.950
,Mixed / non conventional,30.00,34.00,16.00,20.00,32795.64,0.23,0.00,161.92,-195.510,2.950
,Mixed / non conventional,30.00,34.00,20.00,24.00,17673.94,0.23,0.00,-134.87,-316.088,2.950
,Mixed / non conventional,30.00,34.00,24.00,28.00,12204.94,0.23,0.00,-24.15,-1527.948,2.950
,Mixed / non conventional,30.00,34.00,28.00,32.00,11772.72,0.24,0.00,119.67,1842.297,2.950
,Mixed / non conventional,30.00,34.00,32.00,36.00,9736.24,0.23,0.00,-4.96,1523.611,2.950
,Mixed / non conventional,30.00,34.00,36.00,40.00,6381.46,0.24,0.00,14.04,-798.900,2.950
,Mixed / non conventional,30.00,34.00,40.00,44.00,10491.21,0.23,0.00,-2.89,-187.629,2.950
,Mixed / non conventional,30.00,34.00,44.00,48.00,8573.59,0.24,0.00,22.26,-51.111,2.950
,Mixed / non conventional,30.00,34.00,48.00,52.00,22530.99,0.24,0.00,-59.21,-61.054,2.950
,Mixed / non conventional,31.00,35.00,13.00,17.00,49588.56,0.24,0.00,-35.33,-95.929,2.106
,Mixed / non conventional,31.00,35.00,17.00,21.00,33883.38,0.22,0.00,136.64,-144.204,2.106
,Mixed / non conventional,31.00,35.00,21.00,25.00,15987.75,0.27,0.00,-66.71,-204.127,2.106
,Mixed / non conventional,31.00,35.00,25.00,29.00,11942.18,0.23,0.00,-91.39,-1067.321,2.106
,Mixed / non conventional,31.00,35.00,29.00,33.00,14020.58,0.23,0.00,156.87,1566.344,2.106
,Mixed / non conventional,31.00,35.00,33.00,37.00,7575.27,0.22,0.00,5.66,846.291,2.106
,Mixed / non conventional,31.00,35.00,37.00,41.00,6064.41,0.21,0.00,40.95,-542.001,2.106
,Mixed / non conventional,31.00,35.00,41.00,45.00,13080.41,0.25,0.00,-68.26,-167.007,2.106
,Mixed / non conventional,31.00,35.00,45.00,49.00,11650.88,0.23,0.00,-12.73,-49.585,2.106
,Mixed / non conventional,31.00,35.00,49.00,53.00,29105.21,0.23,0.00,-11.95,-56.304,2.106
