freq(Hz)	V_ph(m/s)
32.92207792207793	869.6103896103899
33.43962435799171	840.1619197759793
33.9571707939055	813.4547925501821
34.47471722981928	789.1232469633476
34.99226366573306	766.8638197763538
35.50981010164684	746.4226237164927
36.02735653756062	727.5856208660198
36.54490297347441	710.1710995740848
37.062449409388186	694.0237936830695
37.57999584530197	679.0102404772817
38.09754228121575	665.0150832674175
38.61508871712954	651.9381017003741
39.13263515304332	639.6918079991094
39.66220190958867	628.3899316888155
40.23915109280963	618.4913887595254
40.81610027603059	609.1669289013256
41.39304945925155	600.368017142023
41.96999864247251	592.0514396401306
42.54694782569347	584.1785939112979
43.12389700891443	576.7148897127603
43.700846192135394	569.6292409679356
44.277795375356355	562.8936329898842
44.85474455857731	556.4827522979393
45.43169374179828	550.3736687143326
46.00864292501924	544.5455613249828
46.58559210824019	538.979481402096
47.16254129146116	533.65814660023
47.737753897308636	528.5465345455407
48.232698037892845	522.7802109913547
48.72764217847707	517.2517489833718
49.22258631906128	511.94672821483465
49.717530459645495	506.85187092752693
50.21247460022971	501.9549309517776
50.70741874081393	497.24459543130433
51.20236288139814	492.71039757272024
51.697307021982354	488.34263900329637
52.19225116256657	484.1323205247938
52.68719530315079	480.0710802228606
53.182139443735004	476.1511380362989
53.61075260143584	471.7815248240936
53.996430588045506	467.1873438988458
54.38210857465517	462.74507512587627
54.767786561264835	458.4473063129932
55.1534645478745	454.2870997644177
55.53914253448416	450.2579549098598
55.92482052109383	446.3537744107852
56.310498507703485	442.568833372176
56.69617649431315	438.89775133281717
57.081854480922814	435.33546674589905
57.46753246753248	431.8772136953956
