,x,y,VCP1.48f10000h1,VCP2.82f10000h1,VCP4.49f10000h1,HCP1.48f10000h1,HCP2.82f10000h1,HCP4.49f10000h1,elevation
4,468097.30612244905,468753.2653061224,40.73604425767694,31.98347261169838,31.50338498039494,24.12963492103922,23.35980919942102,28.5830214664842,0
5,468099.387755102,468754.081632653,48.24223810496432,32.70758436108302,31.688499576274033,24.75597179386804,23.558505881002098,28.14221576794346,0
6,468102.857142857,468754.081632653,64.54771941834687,36.87346297880604,32.86299839660754,26.45588166553174,24.270438332150583,28.67091159328204,0
7,468106.32653061196,468754.081632653,81.7604293707119,41.01041040699314,33.95207840542412,25.78534033654274,24.5999369760492,29.1009782537,0
8,468109.7959183672,468754.081632653,96.80506595218853,44.99091955049366,35.56672526344066,25.05351361327196,25.12844660569268,30.44250128761616,0
9,468113.2653061224,468754.081632653,107.18967754972262,48.4529826778941,38.74389525346618,23.86161397139524,25.2325874195078,35.27559906576122,0
10,468116.7346938776,468754.081632653,103.81501863677158,48.76681050492644,42.073738273898,24.051280527743423,25.59929676009016,37.66118539611122,0
11,468112.57142857165,468754.8979591836,87.26454182278958,44.0852339809574,40.20385801772352,20.04665206645696,24.16705638402284,36.640144517063916,0
12,468108.4081632656,468755.7142857142,65.92604699728726,38.552634855060106,38.316105273719856,18.25138149036144,23.201301891193857,35.93124647626644,0
13,468104.2448979594,468756.53061224485,44.5499246260895,32.6811001137488,35.96155921638354,17.5739977084496,22.06299146765712,34.0598276475189,0
14,468100.08163265313,468757.3469387754,30.215609814897483,28.089692527969998,32.51073764658252,17.026061351775077,21.02975201206018,28.241150259021218,0
15,468095.91836734704,468758.163265306,22.8880659251166,24.77522007061652,28.04833531424086,14.947691099629361,19.3824203943032,24.72466666407678,0
16,468099.387755102,468758.163265306,27.50748769631008,26.154248673174116,28.664286109824957,14.997553122845499,19.449912320397356,24.787870487268417,0
17,468102.857142857,468758.163265306,39.12332442380788,29.16690477138434,29.51050792055592,15.096029351490099,19.45506560490118,24.70210382862042,0
18,468106.32653061196,468758.163265306,54.305349853766714,33.28055363012226,30.904201764747636,15.353569935686341,19.746713313314338,25.06088503614118,0
19,468109.79591836716,468758.163265306,70.85366794864191,38.11667334218546,32.75055146827434,15.516489807930322,20.083271870422003,26.538276413774362,0
20,468113.2653061224,468758.163265306,82.88232626816554,42.07797377436292,34.608684476950046,15.86834386328052,20.686080985351,29.767068788218637,0
21,468116.7346938776,468758.163265306,79.8660191282001,41.8166412735016,35.090889290547906,15.92583838167646,20.887671296216777,30.438776957906203,0
